Quarter,Time,Tm,Detail,WAS,TAM
1.0,7:16,Buccaneers,Mike Alstott 2 yard rush (Matt Bryant kick),0,7
,3:33,Redskins,John Hall 33 yard field goal,3,7
2.0,7:52,Buccaneers,Mike Alstott 1 yard rush (Matt Bryant kick),3,14
,7:36,Redskins,Ladell Betts 94 yard kickoff return (John Hall kick),10,14
,5:08,Buccaneers,Joey Galloway 24 yard pass from Chris Simms (Matt Bryant kick),10,21
,1:36,Redskins,John Hall 40 yard field goal,13,21
3.0,13:14,Redskins,Mike Sellers 7 yard pass from Mark Brunell (Clinton Portis pass from Mark Brunell),21,21
,5:19,Redskins,Ladell Betts 17 yard pass from Mark Brunell (John Hall kick),28,21
,1:53,Buccaneers,Ike Hilliard 4 yard pass from Chris Simms (Matt Bryant kick),28,28
4.0,8:19,Redskins,Clinton Portis 8 yard rush (John Hall kick),35,28
,0:58,Buccaneers,Edell Shepherd 30 yard pass from Chris Simms (Mike Alstott run),35,36
