Quarter,Time,Down,ToGo,Location,WAS,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 64 yards, returned by Ladell Betts for 21 yards (tackle by Barrett Ruud)",0.000,0.740
1,14:18,1,10,WAS 27,0,0,Clinton Portis left tackle for 10 yards (tackle by Jermaine Phillips),0.740,1.400
1,13:50,1,10,WAS 37,0,0,Clinton Portis right tackle for 2 yards (tackle by Simeon Rice and Chris Hovan),1.400,1.130
1,13:39,2,8,WAS 39,0,0,Mark Brunell pass incomplete intended for David Patten (defended by Jermaine Phillips),1.130,0.430
1,13:35,3,8,WAS 39,0,0,Mark Brunell pass incomplete intended for Santana Moss (defended by Ronde Barber),0.430,-0.780
1,13:29,4,8,WAS 39,0,0,"Derrick Frost punts 46 yards, fair catch by Mark Jones",-0.780,0.220
1,13:20,1,10,TAM 15,0,0,Cadillac Williams right tackle for 2 yards (tackle by Phillip Daniels),-0.220,-0.440
1,12:44,2,8,TAM 17,0,0,Cadillac Williams right end for 1 yard (tackle by Renaldo Wynn),-0.440,-1.000
1,12:04,3,7,TAM 18,0,0,Chris Simms pass incomplete intended for Ike Hilliard,-1.000,-2.240
1,11:59,4,7,TAM 18,0,0,"Josh Bidwell punts 50 yards, muffed catch by Santana Moss, recovered by Santana Moss and returned for no gain",-2.240,-0.940
1,11:46,1,10,WAS 30,0,0,Clinton Portis up the middle for 31 yards (tackle by Brian Kelly),0.940,2.980
1,11:04,1,10,TAM 39,0,0,Clinton Portis left end for -3 yards (tackle by Anthony McFarland),2.980,2.040
1,10:29,2,13,TAM 42,0,0,Mark Brunell pass complete to Clinton Portis for 5 yards (tackle by Derrick Brooks),2.040,2.020
1,9:52,3,8,TAM 37,0,0,Mark Brunell pass incomplete intended for David Patten is intercepted by Juran Bolden at TAM-25 and returned for 28 yards,2.020,-2.460
1,9:42,1,10,WAS 47,0,0,Chris Simms pass complete to Joey Galloway for 5 yards (tackle by LaVar Arrington),2.460,2.590
1,9:10,2,5,WAS 42,0,0,Mike Alstott left tackle for 5 yards (tackle by Phillip Daniels),2.590,3.120
1,8:28,1,10,WAS 37,0,0,Chris Simms pass incomplete intended for Anthony Becht (defended by Phillip Daniels),3.120,2.570
1,8:22,2,10,WAS 37,0,0,Chris Simms pass complete to Joey Galloway for 34 yards (tackle by Pierson Prioleau),2.570,6.510
1,7:59,1,3,WAS 3,0,0,Mike Alstott up the middle for 1 yard (tackle by Lemar Marshall and Pierson Prioleau),6.510,5.720
1,7:22,2,2,WAS 2,0,6,"Mike Alstott up the middle for 2 yards, touchdown",5.720,7.000
1,,,,WAS 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,TAM 30,0,7,"Matt Bryant kicks off 56 yards, returned by Ladell Betts for 16 yards (tackle by Kalvin Pearson)",0.000,0.940
1,7:11,1,10,WAS 30,0,7,Mark Brunell pass complete to David Patten for 9 yards (tackle by Ronde Barber),0.940,1.610
1,6:44,2,1,WAS 39,0,7,Clinton Portis right end for 11 yards (tackle by Jermaine Phillips),1.610,2.260
1,6:02,1,10,TAM 50,0,7,Mark Brunell pass complete to Chris Cooley for 16 yards (tackle by Ronde Barber),2.260,3.310
