Quarter,Time,Tm,Detail,NYG,WAS
1.0,7:35,Giants,Larry Donnell 5 yard pass from Eli Manning (Josh Brown kick),7,0
2.0,14:14,Giants,Larry Donnell 6 yard pass from Eli Manning (Josh Brown kick),14,0
,8:50,Redskins,Andre Roberts 18 yard pass from Kirk Cousins (Kai Forbath kick),14,7
,2:16,Giants,Larry Donnell 6 yard pass from Eli Manning (Josh Brown kick),21,7
,0:00,Giants,Josh Brown 29 yard field goal,24,7
3.0,12:57,Redskins,Alfred Morris 20 yard rush (Kai Forbath kick),24,14
,4:19,Giants,Daniel Fells 2 yard pass from Eli Manning (Josh Brown kick),31,14
4.0,14:07,Giants,Eli Manning 1 yard rush (Josh Brown kick),38,14
,6:05,Giants,Andre Williams 1 yard rush (Josh Brown kick),45,14
