Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,KAN 47,17,7,Gardner Minshew pass complete short middle to Chris Conley for 20 yards (tackle by Kendall Fuller and Juan Thornhill),2.120,3.780
2,14:15,1,10,KAN 27,17,7,"Leonard Fournette up the middle for 1 yard (tackle by Kendall Fuller). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (no play)",3.780,3.120
2,13:45,1,20,KAN 37,17,7,Gardner Minshew pass complete short left to Dede Westbrook for 4 yards (tackle by Kendall Fuller),3.120,2.420
2,13:01,2,16,KAN 33,17,7,Leonard Fournette up the middle for 3 yards (tackle by Damien Wilson),2.420,2.150
2,12:18,3,13,KAN 30,17,7,Gardner Minshew pass complete short left to Chris Conley for 11 yards (tackle by Charvarius Ward and Alex Okafor),2.150,2.310
2,11:39,4,2,KAN 19,17,10,Josh Lambo 37 yard field goal good,2.310,3.000
2,11:36,,,JAX 35,17,10,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
2,11:36,1,10,KAN 25,17,10,Patrick Mahomes pass complete deep left to Travis Kelce for 41 yards (tackle by Myles Jack),0.610,3.310
2,10:57,1,10,JAX 34,17,10,Damien Williams right end for 3 yards (tackle by Jalen Ramsey),3.310,3.180
2,10:19,2,7,JAX 31,17,10,Patrick Mahomes pass complete short left to Sammy Watkins for 22 yards (tackle by Jarrod Wilson),3.180,5.140
2,9:40,1,9,JAX 9,17,10,Patrick Mahomes pass incomplete short left intended for Travis Kelce,5.140,4.380
2,9:36,2,9,JAX 9,17,10,Patrick Mahomes right end for 2 yards (tackle by Myles Jack),4.380,3.810
2,8:57,3,7,JAX 7,17,10,"Patrick Mahomes sacked by Yannick Ngakoue for no gain. Patrick Mahomes fumbles (forced by Yannick Ngakoue), recovered by Eric Fisher at JAC-11 (tackle by Ronnie Harrison). Penalty on Myles Jack: Disqualification (Offsetting) . Penalty on Demarcus Robinson: Unsportsmanlike Conduct (Offsetting) . Penalty on Damien Williams: Unnecessary Roughness (Offsetting) (no play)",3.810,3.810
2,8:48,3,7,JAX 7,17,10,Patrick Mahomes pass complete short left to Demarcus Robinson for no gain (tackle by D.J. Hayden),3.810,2.970
2,7:59,4,7,JAX 7,20,10,Harrison Butker 25 yard field goal good,2.970,3.000
2,7:56,,,KAN 35,20,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,7:56,1,10,JAX 25,20,10,Gardner Minshew pass complete deep middle to DJ Chark for 69 yards (tackle by Charvarius Ward),0.610,5.830
2,7:12,1,6,KAN 6,20,10,"Leonard Fournette up the middle for no gain (tackle by Anthony Hitchens). Penalty on Andrew Norwell: Offensive Holding, 10 yards (no play)",5.830,4.310
2,6:39,1,16,KAN 16,20,10,Gardner Minshew pass complete short right to Dede Westbrook for -2 yards (tackle by Kendall Fuller),4.310,3.150
2,5:57,2,18,KAN 18,20,10,Gardner Minshew right end for 6 yards (tackle by Damien Wilson),3.150,3.100
2,5:05,3,12,KAN 12,20,10,Gardner Minshew pass complete short middle to James O'Shaughnessy for 7 yards (tackle by Damien Wilson),3.100,3.010
2,4:25,4,5,KAN 5,20,13,Josh Lambo 23 yard field goal good,3.010,3.000
2,4:22,,,JAX 35,20,13,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
2,4:22,1,10,KAN 25,20,13,Patrick Mahomes pass complete short left to Damien Williams for 18 yards (tackle by Jarrod Wilson),0.610,1.800
2,3:41,1,10,KAN 43,20,13,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Quincy Williams),1.800,1.930
2,3:02,2,5,KAN 48,20,13,Damien Williams up the middle for 4 yards (tackle by Josh Allen),1.930,1.750
2,2:29,3,1,JAX 48,20,13,LeSean McCoy up the middle for 4 yards (tackle by Jarrod Wilson),1.750,2.650
2,2:00,1,10,JAX 44,20,13,Patrick Mahomes pass complete short right to Sammy Watkins for 5 yards (tackle by Najee Goode),2.650,2.780
2,1:22,2,5,JAX 39,20,13,Patrick Mahomes pass complete short left to Damien Williams for 8 yards (tackle by Yannick Ngakoue),2.780,3.510
2,0:50,1,10,JAX 31,20,13,Patrick Mahomes pass complete short left to Darwin Thompson for 3 yards (tackle by Quincy Williams),3.510,3.370
2,0:45,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:45,2,7,JAX 28,20,13,Patrick Mahomes pass incomplete deep right intended for Sammy Watkins,3.370,2.680
2,0:40,3,7,JAX 28,20,13,Patrick Mahomes pass incomplete short left intended for Sammy Watkins. Penalty on A.J. Bouye: Defensive Holding (Offsetting) (no play),2.680,2.680
2,0:33,3,7,JAX 28,20,13,Patrick Mahomes pass incomplete deep middle intended for Sammy Watkins,2.680,1.590
2,0:28,4,7,JAX 28,23,13,Harrison Butker 46 yard field goal good,1.590,3.000
2,0:24,,,KAN 35,23,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:24,1,10,JAX 25,23,13,Gardner Minshew pass complete short left to Leonard Fournette for 6 yards (tackle by Damien Wilson),0.610,0.870
2,0:19,2,4,JAX 31,23,13,"Gardner Minshew pass incomplete short right intended for Leonard Fournette. Penalty on Jawaan Taylor: Illegal Use of Hands, 10 yards (no play)",0.870,-0.480
2,0:13,2,14,JAX 21,23,13,Gardner Minshew pass complete short left to Geoff Swaim for 5 yards (tackle by Charvarius Ward),-0.480,-0.490
Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,23,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,23,13,Leonard Fournette right end for 6 yards (tackle by Juan Thornhill),0.610,0.870
3,14:28,2,4,JAX 31,23,13,Leonard Fournette left end for 3 yards (tackle by Damien Wilson). Penalty on Will Richardson: Offensive Holding (Offsetting) (no play),0.870,0.870
3,13:56,2,4,JAX 31,23,13,Leonard Fournette up the middle for 1 yard (tackle by Darron Lee and Derrick Nnadi),0.870,0.300
3,13:13,3,3,JAX 32,23,13,Gardner Minshew pass complete short right to Dede Westbrook for 12 yards (tackle by Anthony Hitchens and Kendall Fuller),0.300,1.860
3,12:28,1,10,JAX 44,23,13,Gardner Minshew pass complete short middle to James O'Shaughnessy for 7 yards (tackle by Chris Jones),1.860,2.260
3,12:01,2,3,KAN 49,23,13,Gardner Minshew pass complete short right to Dede Westbrook for 1 yard (tackle by Kendall Fuller),2.260,1.690
3,11:22,3,2,KAN 48,23,13,Leonard Fournette up the middle for 14 yards (tackle by Tyrann Mathieu and Kendall Fuller),1.690,3.310
3,10:37,1,10,KAN 34,23,13,Leonard Fournette up the middle for 6 yards (tackle by Tyrann Mathieu),3.310,3.580
3,9:48,2,4,KAN 28,23,13,Leonard Fournette up the middle for 2 yards (tackle by Emmanuel Ogbah),3.580,3.140
3,8:59,3,2,KAN 26,23,13,"Gardner Minshew pass complete short middle to Leonard Fournette for no gain (tackle by Damien Wilson). Leonard Fournette fumbles (forced by Damien Wilson), recovered by Bashaud Breeland at KC-26 and returned for 14 yards (tackle by Dede Westbrook)",3.140,-1.600
3,8:50,1,10,KAN 40,23,13,Damien Williams left end for 1 yard (tackle by Josh Allen and Abry Jones),1.600,1.190
3,8:16,2,9,KAN 41,23,13,Patrick Mahomes pass complete short right to Sammy Watkins for 8 yards (tackle by D.J. Hayden),1.190,1.550
3,7:32,,,,,,Timeout #1 by Jacksonville Jaguars,,
3,7:32,3,1,KAN 49,23,13,Damien Williams up the middle for 2 yards (tackle by Calais Campbell),1.550,2.320
3,6:55,1,10,JAX 49,23,13,Patrick Mahomes pass complete short right to Sammy Watkins for 9 yards (tackle by Jalen Ramsey),2.320,3.000
3,6:11,2,1,JAX 40,23,13,LeSean McCoy up the middle for 2 yards (tackle by Quincy Williams),3.000,3.050
3,5:36,1,10,JAX 38,23,13,Damien Williams up the middle for no gain (tackle by Calais Campbell),3.050,2.510
3,4:57,2,10,JAX 38,23,13,Patrick Mahomes pass complete short middle to LeSean McCoy for 12 yards (tackle by Najee Goode),2.510,3.840
3,4:15,1,10,JAX 26,23,13,Patrick Mahomes pass incomplete short left intended for Demarcus Robinson,3.840,3.300
3,4:12,2,10,JAX 26,23,13,"Patrick Mahomes sacked by D.J. Hayden for no gain. Patrick Mahomes fumbles (forced by D.J. Hayden), recovered by Mitchell Schwartz at JAC-35 (tackle by Josh Allen). Penalty on Calais Campbell: Defensive Offside, 5 yards (no play)",3.300,3.970
3,3:56,2,5,JAX 21,23,13,"Patrick Mahomes pass incomplete deep middle intended for Demarcus Robinson. Penalty on Ronnie Harrison: Defensive Holding, 5 yards (no play)",3.970,4.510
3,3:50,1,10,JAX 16,23,13,Patrick Mahomes pass complete short right to Anthony Sherman for 15 yards (tackle by Calais Campbell),4.510,6.970
3,3:05,1,1,JAX 1,23,13,Patrick Mahomes pass complete short middle to Damien Williams for -1 yards (tackle by Ronnie Harrison),6.970,5.720
3,2:34,2,2,JAX 2,23,13,"Patrick Mahomes pass incomplete short right intended for Travis Kelce. Penalty on Ronnie Harrison: Taunting, 1 yard",5.720,6.970
3,2:28,1,1,JAX 1,29,13,"Damien Williams up the middle for 1 yard, touchdown",6.970,7.000
3,2:25,,,JAX 15,30,13,Harrison Butker kicks extra point good,0.000,0.000
3,2:25,,,KAN 35,30,13,"Harrison Butker kicks off 60 yards, returned by Tyler Ervin for 17 yards (tackle by Dorian O'Daniel)",0.000,0.410
3,2:20,1,10,JAX 22,30,13,"Dede Westbrook right end for no gain (tackle by Juan Thornhill). Penalty on Geoff Swaim: Illegal Block Above the Waist, 10 yards (no play)",0.410,-0.660
3,1:49,1,20,JAX 12,30,13,Gardner Minshew sacked by Emmanuel Ogbah for -3 yards,-0.660,-1.730
3,1:08,2,23,JAX 9,30,13,Gardner Minshew pass incomplete short right intended for Dede Westbrook (defended by Alex Okafor),-1.730,-2.940
3,1:03,3,23,JAX 9,30,13,Leonard Fournette up the middle for 10 yards (tackle by Juan Thornhill),-2.940,-2.140
3,0:23,4,13,JAX 19,30,13,"Logan Cooke punts 48 yards, fair catch by Mecole Hardman at KC-33",-2.140,-1.140
3,0:15,1,10,KAN 33,30,13,Patrick Mahomes pass complete short left to Blake Bell for 7 yards (tackle by Jalen Ramsey),1.140,1.540
Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,KAN 40,30,13,LeSean McCoy left end for 3 yards (tackle by Ronnie Harrison),1.540,1.800
4,14:17,1,10,KAN 43,30,13,LeSean McCoy left end for 31 yards (tackle by Ronnie Harrison),1.800,3.840
4,13:34,1,10,JAX 26,30,13,Damien Williams left end for -1 yards (tackle by Yannick Ngakoue),3.840,3.160
4,12:53,2,11,JAX 27,30,13,"Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Najee Goode). Penalty on Taven Bryan: Defensive Offside, 5 yards (no play)",3.160,3.840
4,12:32,2,6,JAX 22,30,13,"Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Jarrod Wilson). Penalty on Calais Campbell: Defensive Offside, 5 yards (no play)",3.840,4.640
4,12:05,2,1,JAX 17,30,13,Patrick Mahomes pass incomplete short right intended for Mecole Hardman,4.640,3.950
4,12:02,3,1,JAX 17,30,13,Patrick Mahomes pass complete short right to Damien Williams for 9 yards (tackle by Dontavius Russell),3.950,5.370
4,11:40,1,8,JAX 8,30,13,LeSean McCoy up the middle for 5 yards (tackle by Andrew Wingard),5.370,5.530
4,11:02,2,3,JAX 3,36,13,"Patrick Mahomes pass complete short right to Sammy Watkins for 3 yards, touchdown",5.530,7.000
4,10:56,,,JAX 15,37,13,Harrison Butker kicks extra point good,0.000,0.000
4,10:56,,,KAN 35,37,13,"Harrison Butker kicks off 65 yards, returned by Tyler Ervin for 21 yards (tackle by Daniel Sorensen)",0.000,0.340
4,10:49,1,10,JAX 21,37,13,Dede Westbrook right end for 2 yards (tackle by Alex Okafor),0.340,0.070
4,10:21,2,8,JAX 23,37,13,Gardner Minshew pass complete short middle to Leonard Fournette for 12 yards (tackle by Anthony Hitchens),0.070,1.270
4,9:48,1,10,JAX 35,37,13,Gardner Minshew pass complete deep right to DJ Chark for 35 yards (tackle by Juan Thornhill),1.270,3.580
4,9:08,1,10,KAN 30,37,13,Ryquell Armstead up the middle for 7 yards (tackle by Anthony Hitchens),3.580,3.980
4,8:37,2,3,KAN 23,37,13,Leonard Fournette up the middle for 3 yards (tackle by Frank Clark),3.980,4.240
4,8:10,1,10,KAN 20,37,13,Gardner Minshew pass complete short left to Geoff Swaim for 5 yards (tackle by Anthony Hitchens),4.240,4.450
4,7:40,2,5,KAN 15,37,19,"Gardner Minshew pass complete short left to Dede Westbrook for 15 yards, touchdown",4.450,7.000
4,7:32,,,KAN 2,37,19,"Two Point Attempt: Gardner Minshew pass incomplete intended for Keelan Cole, conversion fails",1.000,-1.000
4,7:32,,,JAX 35,37,19,"Josh Lambo kicks onside 11 yards, returned by Armani Watts for no gain (tackle by Andrew Wingard)",0.000,2.520
4,7:27,1,10,JAX 46,37,19,LeSean McCoy up the middle for no gain (tackle by Dawuane Smoot),2.520,1.980
4,7:08,2,10,JAX 46,37,19,LeSean McCoy up the middle for 2 yards (tackle by D.J. Hayden),1.980,1.550
4,6:08,3,8,JAX 44,37,19,"Patrick Mahomes pass complete short left to Damien Williams for 3 yards (tackle by Ronnie Harrison). Penalty on Austin Reiter: Offensive Holding, 10 yards",1.550,0.630
4,5:38,3,15,KAN 49,37,19,Patrick Mahomes pass incomplete short left intended for Travis Kelce,0.630,-0.130
4,5:34,4,15,KAN 49,37,19,"Dustin Colquitt punts 51 yards, touchback.",-0.130,-0.280
4,5:25,1,10,JAX 20,37,19,Gardner Minshew pass short middle intended for Leonard Fournette is intercepted by Frank Clark at JAC-17 and returned for 5 yards,0.280,-4.780
4,5:14,1,10,JAX 12,37,19,Damien Williams up the middle for 4 yards (tackle by Ronnie Harrison),4.780,4.830
4,4:29,2,6,JAX 8,37,19,Damien Williams up the middle for 1 yard (tackle by Dawuane Smoot),4.830,4.160
4,3:46,3,5,JAX 7,37,19,"Damien Williams up the middle for 7 yards. Penalty on Andrew Wylie: Offensive Holding, 10 yards (no play)",4.160,2.840
4,3:41,,,,,,Timeout #1 by Kansas City Chiefs,,
4,3:41,3,15,JAX 17,37,19,Matt Moore pass incomplete short left intended for Travis Kelce,2.840,2.310
4,3:38,4,15,JAX 17,40,19,Harrison Butker 35 yard field goal good,2.310,3.000
4,3:33,,,KAN 35,40,19,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,3:33,1,10,JAX 25,40,19,Gardner Minshew pass complete short left to James O'Shaughnessy for 9 yards (tackle by Kendall Fuller),0.610,1.280
4,3:05,2,1,JAX 34,40,19,Gardner Minshew pass complete short middle to James O'Shaughnessy for 9 yards (tackle by Anthony Hitchens). Penalty on Alex Okafor: Defensive Offside (Declined),1.280,1.800
4,3:00,1,10,JAX 43,40,19,"Gardner Minshew pass incomplete short middle intended for Keelan Cole (defended by Anthony Hitchens). Penalty on Frank Clark: Defensive Offside (Declined) . Penalty on Anthony Hitchens: Lowering the Head to Initiate Contact, 15 yards (no play)",1.800,2.790
4,2:55,1,10,KAN 42,40,19,Gardner Minshew pass incomplete short left intended for Ryquell Armstead,2.790,2.240
4,2:50,2,10,KAN 42,40,19,Gardner Minshew pass complete short left to Geoff Swaim for 5 yards (tackle by Tyrann Mathieu),2.240,2.210
4,2:28,3,5,KAN 37,40,19,Gardner Minshew pass complete deep middle to Chris Conley for 16 yards (tackle by Anthony Hitchens),2.210,4.170
4,2:00,1,10,KAN 21,40,25,"Gardner Minshew pass complete deep right to Chris Conley for 21 yards, touchdown",4.170,7.000
4,1:55,,,KAN 15,40,26,Josh Lambo kicks extra point good,0.000,0.000
4,1:55,,,JAX 35,40,26,"Josh Lambo kicks onside 12 yards, returned by Armani Watts for no gain (tackle by Andrew Wingard)",0.000,2.460
4,1:53,1,10,JAX 47,40,26,LeSean McCoy up the middle for 19 yards (tackle by Najee Goode),2.460,3.710
4,1:40,,,,,,Timeout #2 by Kansas City Chiefs,,
4,1:40,1,10,JAX 28,40,26,Damien Williams up the middle for 6 yards (tackle by D.J. Alexander),3.710,3.980
4,1:40,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:32,2,4,JAX 22,40,26,Damien Williams up the middle for 3 yards (tackle by Leon Jacobs),3.980,3.720
4,1:25,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:25,3,1,JAX 19,40,26,Damien Williams up the middle for 3 yards (tackle by Jarrod Wilson),3.720,4.510
4,0:40,1,10,JAX 16,40,26,Matt Moore kneels for -1 yards,4.510,3.770
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
