Quarter,Time,Tm,Detail,KAN,JAX
1.0,13:24,Chiefs,Sammy Watkins 68 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,8:57,Chiefs,Harrison Butker 28 yard field goal,10,0
,5:23,Jaguars,DJ Chark 35 yard pass from Nick Foles (Josh Lambo kick),10,7
,2:36,Chiefs,Sammy Watkins 49 yard pass from Patrick Mahomes (Harrison Butker kick),17,7
2.0,11:36,Jaguars,Josh Lambo 37 yard field goal,17,10
,7:56,Chiefs,Harrison Butker 25 yard field goal,20,10
,4:22,Jaguars,Josh Lambo 23 yard field goal,20,13
,0:24,Chiefs,Harrison Butker 46 yard field goal,23,13
3.0,2:25,Chiefs,Damien Williams 1 yard rush (Harrison Butker kick),30,13
4.0,10:56,Chiefs,Sammy Watkins 3 yard pass from Patrick Mahomes (Harrison Butker kick),37,13
,7:32,Jaguars,Dede Westbrook 15 yard pass from Gardner Minshew II (pass failed),37,19
,3:33,Chiefs,Harrison Butker 35 yard field goal,40,19
,1:55,Jaguars,Chris Conley 21 yard pass from Gardner Minshew II (Josh Lambo kick),40,26
