Unnamed: 0,KAN,JAX
First Downs,24,18
Rush-Yds-TDs,26-113-1,16-81-0
Cmp-Att-Yd-TD-INT,25-34-378-3-0,27-33-350-3-1
Sacked-Yards,0-0,1-3
Net Pass Yards,378,347
Total Yards,491,428
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-55,10-71
Third Down Conv.,5-10,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,31:15,28:45
