Quarter,Time,Tm,Detail,JAX,PIT
1.0,9:36,Jaguars,Josh Scobee 36 yard field goal,3,0
2.0,14:13,Steelers,Heath Miller 18 yard pass from Ben Roethlisberger (Jeff Reed kick),3,7
,1:01,Jaguars,Ernest Wilford 12 yard pass from David Garrard (Josh Scobee kick),10,7
3.0,5:20,Jaguars,Reggie Williams 3 yard pass from David Garrard,16,7
,3:47,Jaguars,Dennis Northcutt 55 yard pass from David Garrard (Josh Scobee kick failed),22,7
4.0,13:11,Steelers,Hines Ward 11 yard pass from Ben Roethlisberger (Jeff Reed kick),22,14
,5:46,Steelers,Nate Washington 30 yard pass from Ben Roethlisberger (Santonio Holmes pass from Cedrick Wilson),22,22
,1:57,Jaguars,Fred Taylor 12 yard rush (Josh Scobee kick),29,22
