Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
1,8:54,2,8,PIT 32,3,0,Ben Roethlisberger pass complete short left to Willie Parker for 6 yards (tackle by Justin Durant),0.660,0.760
1,8:07,3,2,PIT 38,3,0,Ben Roethlisberger right end for 4 yards (tackle by Justin Durant and Rob Meier),0.760,1.730
1,7:27,1,10,PIT 42,3,0,Willie Parker left end for 16 yards (tackle by Reggie Nelson),1.730,2.790
1,6:58,1,10,JAX 42,3,0,Willie Parker right guard for 5 yards (tackle by Brian Williams and John Henderson),2.790,2.920
1,6:14,2,5,JAX 37,3,0,Ben Roethlisberger pass incomplete short right intended for Santonio Holmes,2.920,2.210
1,6:09,3,5,JAX 37,3,0,Ben Roethlisberger sacked by Brent Hawkins for -9 yards,2.210,0.200
1,5:49,4,14,JAX 46,3,0,"Daniel Sepulveda punts 32 yards, fair catch by Dennis Northcutt",0.200,0.280
1,5:41,1,10,JAX 14,3,0,Maurice Jones-Drew left guard for 4 yards (tackle by Deshea Townsend),-0.280,-0.210
1,5:01,2,6,JAX 18,3,0,David Garrard pass complete short left to Ernest Wilford for 10 yards (tackle by Deshea Townsend),-0.210,0.810
1,4:21,1,10,JAX 28,3,0,"Fred Taylor up the middle for 3 yards (tackle by Casey Hampton). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (no play)",0.810,-0.040
1,3:55,1,20,JAX 18,3,0,David Garrard pass incomplete deep left intended for Matt Jones,-0.040,-1.190
1,3:50,2,20,JAX 18,3,0,Fred Taylor right guard for no gain (tackle by James Harrison),-1.190,-1.960
1,3:05,3,20,JAX 18,3,0,David Garrard pass incomplete deep left intended for Reggie Williams (defended by Troy Polamalu),-1.960,-2.240
1,2:59,4,20,JAX 18,3,0,Adam Podlesh punts 32 yards,-2.240,-2.260
1,2:52,1,10,JAX 50,3,0,Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes,2.260,1.710
1,2:44,2,10,JAX 50,3,0,Ben Roethlisberger pass complete short left to Santonio Holmes for 8 yards (tackle by Reggie Nelson),1.710,2.080
1,1:52,3,2,JAX 42,3,0,Ben Roethlisberger pass incomplete deep middle intended for Santonio Holmes,2.080,0.460
1,1:47,4,2,JAX 42,3,0,Daniel Sepulveda punts 33 yards,0.460,0.380
1,1:38,1,10,JAX 9,3,0,Maurice Jones-Drew up the middle for 2 yards (tackle by Travis Kirschke),-0.380,-0.630
1,0:58,2,8,JAX 11,3,0,Fred Taylor right guard for 1 yard (tackle by Larry Foote and Travis Kirschke),-0.630,-1.070
1,0:15,3,7,JAX 12,3,0,David Garrard left end for 6 yards (tackle by Troy Polamalu),-1.070,-2.240
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,JAX 18,3,0,Adam Podlesh punts 13 yards,-2.240,-3.510
2,14:55,1,10,JAX 31,3,0,Willie Parker left end for 13 yards (tackle by Reggie Nelson),3.510,4.370
2,14:29,1,10,JAX 18,3,0,Ben Roethlisberger pass incomplete short right intended for Willie Parker,4.370,3.800
2,14:21,2,10,JAX 18,3,0,Ben Roethlisberger pass incomplete short left intended for Nate Washington,3.800,3.050
2,14:18,3,10,JAX 18,3,6,"Ben Roethlisberger pass complete deep middle to Heath Miller for 18 yards, touchdown",3.050,7.000
2,,,,,3,6,"Penalty on Chris Kemoeatu: False Start, 5 yards (no play)",0.000,0.000
2,,,,JAX 2,3,7,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,3,7,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
2,14:13,1,10,JAX 20,3,7,David Garrard pass complete short right to Dennis Northcutt for 7 yards (tackle by Ike Taylor),0.280,0.680
2,13:30,2,3,JAX 27,3,7,Fred Taylor left guard for 38 yards (tackle by Anthony Smith),0.680,3.250
2,12:57,1,10,PIT 35,3,7,David Garrard pass incomplete short middle intended for Dennis Northcutt (defended by Larry Foote),3.250,2.700
2,12:52,2,10,PIT 35,3,7,David Garrard pass incomplete short right intended for Dennis Northcutt,2.700,2.010
2,12:48,3,10,PIT 35,3,7,David Garrard pass incomplete short left intended for Reggie Williams,2.010,0.970
2,12:43,4,10,PIT 35,3,7,Adam Podlesh punts 27 yards,0.970,0.380
2,12:33,1,10,PIT 8,3,7,Ben Roethlisberger pass complete short left to Hines Ward for 4 yards (tackle by Justin Durant),-0.380,-0.490
2,11:56,2,6,PIT 12,3,7,Willie Parker right tackle for 8 yards (tackle by Reggie Nelson),-0.490,0.280
2,11:15,1,10,PIT 20,3,7,Willie Parker right tackle for 1 yard (tackle by Brent Hawkins and Sammy Knight),0.280,-0.130
2,10:32,2,9,PIT 21,3,7,"Ben Roethlisberger sacked by Paul Spicer for -6 yards. Ben Roethlisberger fumbles (forced by Paul Spicer), recovered by Ben Roethlisberger at PIT-15",-0.130,-1.860
2,10:00,3,15,PIT 15,3,7,Najeh Davenport right end for -4 yards (tackle by Sammy Knight),-1.860,-2.490
2,9:24,4,19,PIT 11,3,7,"Daniel Sepulveda punts 55 yards, returned by Dennis Northcutt for 10 yards (tackle by Lawrence Timmons)",-2.490,-1.860
2,9:08,1,10,JAX 44,3,7,Fred Taylor right guard for 1 yard (tackle by Casey Hampton),1.860,1.450
2,8:33,2,9,JAX 45,3,7,David Garrard pass complete short left to Maurice Jones-Drew for 4 yards (tackle by Troy Polamalu),1.450,1.290
2,7:47,3,5,JAX 49,3,7,David Garrard pass incomplete short right intended for Ernest Wilford (defended by Deshea Townsend),1.290,-0.130
2,7:45,4,5,JAX 49,3,7,"Adam Podlesh punts 44 yards, returned by Allen Rossum for 12 yards (tackle by Brian Iwuh)",-0.130,-0.150
2,7:33,1,10,PIT 19,3,7,"Willie Parker left guard for 3 yards (tackle by Paul Spicer and Justin Durant). Penalty on Sean Mahan: Offensive Holding, 9 yards (no play)",0.150,-0.720
2,7:09,1,19,PIT 10,3,7,Willie Parker left tackle for 7 yards (tackle by Terry Cousin and Brian Williams),-0.720,-0.720
2,6:28,2,12,PIT 17,3,7,Ben Roethlisberger pass incomplete deep right intended for Hines Ward,-0.720,-1.420
2,6:22,3,12,PIT 17,3,7,Ben Roethlisberger pass incomplete deep right intended for Hines Ward,-1.420,-2.320
2,6:14,4,12,PIT 17,3,7,"Daniel Sepulveda punts 49 yards, returned by Dennis Northcutt for -2 yards (tackle by William Gay)",-2.320,-1.070
2,6:07,1,10,JAX 32,3,7,David Garrard pass complete short right to Dennis Northcutt for 10 yards (tackle by Ike Taylor),1.070,1.730
2,5:28,1,10,JAX 42,3,7,Maurice Jones-Drew right guard for 5 yards (tackle by Casey Hampton and Travis Kirschke),1.730,1.860
2,4:52,2,5,JAX 47,3,7,"David Garrard pass complete short middle to Maurice Jones-Drew for 5 yards (tackle by James Farrior). Penalty on Clark Haggans: Roughing the Passer, 15 yards",1.860,3.380
2,4:21,1,10,PIT 33,3,7,Maurice Jones-Drew up the middle for 3 yards (tackle by James Farrior and Clark Haggans),3.380,3.240
2,3:52,2,7,PIT 30,3,7,Fred Taylor left guard for 4 yards (tackle by Larry Foote and James Harrison),3.240,3.070
2,3:08,3,3,PIT 26,3,7,Fred Taylor left guard for 2 yards (tackle by Troy Polamalu),3.070,2.020
2,2:24,4,1,PIT 24,3,7,Maurice Jones-Drew right guard for 2 yards (tackle by Larry Foote and Ike Taylor),2.020,4.110
2,2:00,1,10,PIT 22,3,7,Fred Taylor right guard for 5 yards (tackle by Troy Polamalu and Larry Foote),4.110,4.290
2,1:32,2,5,PIT 17,3,7,Fred Taylor up the middle for 5 yards (tackle by Clark Haggans and Larry Foote),4.290,4.780
2,1:07,1,10,PIT 12,9,7,"David Garrard pass complete short right to Ernest Wilford for 12 yards, touchdown",4.780,7.000
2,1:01,,,,9,7,Timeout #1 by Pittsburgh Steelers,0.000,0.000
2,,,,PIT 2,10,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,10,7,"Josh Scobee kicks off 62 yards, returned by Allen Rossum for 3 yards (tackle by Brian Iwuh)",0.000,-0.370
2,0:56,1,10,PIT 11,10,7,Ben Roethlisberger pass complete short left to Hines Ward for 6 yards (tackle by Terry Cousin),-0.370,-0.160
2,0:38,2,4,PIT 17,10,7,Ben Roethlisberger pass complete short left to Hines Ward for 10 yards (tackle by Terry Cousin),-0.160,0.740
2,0:23,1,10,PIT 27,10,7,Ben Roethlisberger pass complete short right to Najeh Davenport for 3 yards (tackle by Justin Durant),0.740,0.600
2,0:15,,,,10,7,Timeout #2 by Pittsburgh Steelers,0.000,0.600
2,0:15,2,7,PIT 30,10,7,"Ben Roethlisberger pass complete deep middle to Santonio Holmes for 6 yards (tackle by Brian Williams). Santonio Holmes fumbles (forced by Brian Williams), recovered by Najeh Davenport at PIT-36",0.600,0.700
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,10,7,"Jeff Reed kicks off 62 yards, returned by Maurice Jones-Drew for 18 yards (tackle by Marquis Cooper)",0.000,0.670
3,14:55,1,10,JAX 26,10,7,Fred Taylor left tackle for 1 yard (tackle by Casey Hampton),0.670,0.270
3,14:13,2,9,JAX 27,10,7,David Garrard pass incomplete short left intended for Reggie Williams,0.270,-0.430
3,14:04,3,9,JAX 27,10,7,David Garrard pass complete deep middle to Marcedes Lewis for 18 yards (tackle by Anthony Smith),-0.430,1.930
3,13:21,1,10,JAX 45,10,7,David Garrard pass incomplete deep left intended for Ernest Wilford,1.930,1.380
3,13:14,2,10,JAX 45,10,7,Fred Taylor right guard for 2 yards (tackle by Chris Hoke),1.380,0.960
3,12:32,3,8,JAX 47,10,7,David Garrard pass complete short middle to Maurice Jones-Drew for 7 yards (tackle by James Harrison),0.960,0.200
3,11:48,4,1,PIT 46,10,7,Maurice Jones-Drew right guard for 6 yards (tackle by Tyrone Carter),0.200,2.920
3,11:08,1,10,PIT 40,10,7,David Garrard pass incomplete deep middle intended for Ernest Wilford,2.920,2.370
3,11:03,2,10,PIT 40,10,7,David Garrard pass complete short left to Matt Jones for 9 yards (tackle by Larry Foote),2.370,2.870
3,10:20,3,1,PIT 31,10,7,Greg Jones up the middle for no gain (tackle by Casey Hampton and James Farrior),2.870,1.410
3,9:56,4,1,PIT 31,10,7,David Garrard up the middle for 3 yards (tackle by Casey Hampton and Travis Kirschke),1.410,3.710
3,9:15,1,10,PIT 28,10,7,David Garrard pass incomplete deep middle intended for Marcedes Lewis,3.710,3.170
3,9:11,2,10,PIT 28,10,7,David Garrard pass incomplete short right intended for Reggie Williams (defended by Ike Taylor),3.170,2.480
3,9:07,3,10,PIT 28,10,7,Maurice Jones-Drew up the middle for 17 yards (tackle by Bryant McFadden and Anthony Smith),2.480,4.840
3,8:24,1,10,PIT 11,10,7,Fred Taylor right end for 2 yards (tackle by Travis Kirschke and Larry Foote),4.840,4.510
3,7:40,2,8,PIT 9,10,7,David Garrard pass incomplete short right intended for Maurice Jones-Drew,4.510,3.530
3,7:35,3,8,PIT 9,10,7,David Garrard pass complete short right to Maurice Jones-Drew for 8 yards (tackle by Ike Taylor),3.530,6.970
3,6:53,1,1,PIT 1,10,7,Maurice Jones-Drew up the middle for no gain (tackle by Clark Haggans and James Farrior),6.970,5.910
3,6:10,2,1,PIT 1,10,7,David Garrard pass complete short right to Greg Jones for -2 yards (tackle by Troy Polamalu),5.910,4.720
3,5:25,3,3,PIT 3,16,7,"David Garrard pass complete short left to Reggie Williams for 3 yards, touchdown. Penalty on Ike Taylor: Defensive Holding (Declined)",4.720,7.000
3,,,,PIT 2,16,7,Josh Scobee kicks extra point no good,0.000,-1.000
3,,,,JAX 30,16,7,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
3,5:20,1,10,PIT 20,16,7,Ben Roethlisberger sacked by Bobby McCray for -9 yards,0.280,-1.440
3,4:55,2,19,PIT 11,16,7,Willie Parker right guard for 5 yards (tackle by John Henderson and Justin Durant),-1.440,-1.690
3,4:13,3,14,PIT 16,16,7,Ben Roethlisberger pass incomplete deep right intended for Nate Washington,-1.690,-2.390
3,4:08,4,14,PIT 16,16,7,"Daniel Sepulveda punts 41 yards, returned by Dennis Northcutt for 2 yards (tackle by Najeh Davenport)",-2.390,-1.930
3,3:57,1,10,JAX 45,22,7,"David Garrard pass complete deep right to Dennis Northcutt for 55 yards, touchdown",1.930,7.000
3,,,,PIT 2,22,7,Josh Scobee kicks extra point no good,0.000,-1.000
3,,,,JAX 30,22,7,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
3,3:43,1,10,PIT 20,22,7,Ben Roethlisberger pass complete short right to Willie Parker for 3 yards (tackle by Brian Williams),0.280,0.140
3,3:15,2,7,PIT 23,22,7,Ben Roethlisberger pass complete short right to Cedrick Wilson for 12 yards,0.140,1.270
3,2:46,1,10,PIT 35,22,7,Ben Roethlisberger pass incomplete short right intended for Willie Parker,1.270,0.720
3,2:39,2,10,PIT 35,22,7,Ben Roethlisberger pass incomplete short middle intended for Hines Ward (defended by Daryl Smith),0.720,0.040
3,2:35,3,10,PIT 35,22,7,Ben Roethlisberger pass incomplete short middle intended for Hines Ward,0.040,-1.040
3,2:28,4,10,PIT 35,22,7,"Daniel Sepulveda punts 42 yards. Penalty on Lawrence Timmons: Ineligible Downfield Kick, 5 yards (no play)",-1.040,-1.370
3,2:18,4,15,PIT 30,22,7,"Daniel Sepulveda punts 43 yards, returned by Dennis Northcutt for 5 yards (tackle by Greg Warren)",-1.370,-1.070
3,2:08,1,10,JAX 32,22,7,Fred Taylor right guard for 13 yards (tackle by James Harrison and Anthony Smith),1.070,1.930
3,1:22,1,10,JAX 45,22,7,Fred Taylor left end for 3 yards (tackle by Travis Kirschke and Anthony Smith),1.930,1.790
3,0:37,2,7,JAX 48,22,7,Maurice Jones-Drew left guard for 7 yards (tackle by Tyrone Carter and Troy Polamalu),1.790,2.590
Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PIT 45,22,7,Fred Taylor up the middle for 1 yard (tackle by Travis Kirschke and Casey Hampton),2.590,2.180
4,14:18,2,9,PIT 44,22,7,David Garrard pass incomplete short right intended for Greg Jones is intercepted by Anthony Smith at PIT-38 and returned for 50 yards (tackle by Maurice Williams),2.180,-4.780
4,14:03,1,10,JAX 12,22,7,Willie Parker up the middle for 1 yard (tackle by John Henderson and Sammy Knight),4.780,4.270
4,13:25,2,9,JAX 11,22,7,Ben Roethlisberger pass incomplete short right intended for Heath Miller,4.270,3.290
4,13:16,3,9,JAX 11,22,13,"Ben Roethlisberger pass complete short middle to Hines Ward for 11 yards, touchdown",3.290,7.000
4,,,,JAX 2,22,14,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,22,14,"Jeff Reed kicks off 62 yards, returned by Maurice Jones-Drew for 19 yards (tackle by Gary Russell)",0.000,0.740
4,13:05,1,10,JAX 27,22,14,Fred Taylor up the middle for 1 yard (tackle by Brett Keisel and James Harrison),0.740,0.330
4,12:25,2,9,JAX 28,22,14,David Garrard pass complete short right to Dennis Northcutt for 9 yards (tackle by Deshea Townsend),0.330,1.400
4,11:55,1,10,JAX 37,22,14,Fred Taylor left guard for 11 yards (tackle by Troy Polamalu and James Farrior),1.400,2.130
4,11:12,1,10,JAX 48,22,14,Fred Taylor left tackle for 7 yards (tackle by Tyrone Carter and Larry Foote),2.130,2.530
4,10:29,2,3,PIT 45,22,14,Fred Taylor up the middle for no gain (tackle by LaMarr Woodley),2.530,1.820
4,9:43,3,3,PIT 45,22,14,David Garrard pass incomplete short left intended for Ernest Wilford (defended by Larry Foote),1.820,0.270
4,9:38,4,3,PIT 45,22,14,Adam Podlesh punts 29 yards,0.270,0.140
4,9:29,1,10,PIT 16,22,14,Willie Parker left tackle for 13 yards (tackle by Sammy Knight),-0.140,0.870
4,8:54,1,10,PIT 29,22,14,Ben Roethlisberger pass incomplete short right intended for Hines Ward,0.870,0.330
4,8:49,2,10,PIT 29,22,14,Willie Parker right end for 27 yards (tackle by Reggie Nelson),0.330,2.650
4,8:05,1,10,JAX 44,22,14,Willie Parker up the middle for no gain (tackle by Daryl Smith and John Henderson),2.650,2.110
4,7:35,2,10,JAX 44,22,14,Ben Roethlisberger sacked by Brent Hawkins for -8 yards,2.110,0.370
4,7:00,3,18,PIT 48,22,14,Ben Roethlisberger pass complete short middle to Santonio Holmes for 18 yards (tackle by Rashean Mathis),0.370,3.310
4,6:29,1,10,JAX 34,22,14,Willie Parker right tackle for 4 yards (tackle by Sammy Knight and Brian Williams),3.310,3.310
4,5:54,2,6,JAX 30,22,20,"Ben Roethlisberger pass complete deep right to Nate Washington for 30 yards, touchdown",3.310,7.000
4,,,,,22,22,"Two Point Attempt: Cedrick Wilson pass complete to Santonio Holmes, conversion succeeds",1.000,1.000
4,,,,PIT 30,22,22,"Jeff Reed kicks off 61 yards, returned by Scott Starks for 18 yards (tackle by James Harrison)",0.000,0.740
4,5:41,1,10,JAX 27,22,22,David Garrard pass complete deep middle to Marcedes Lewis for 20 yards (tackle by Tyrone Carter),0.740,2.060
4,4:58,1,10,JAX 47,22,22,Fred Taylor right end for 9 yards (tackle by Larry Foote and Travis Kirschke),2.060,2.730
4,4:14,2,1,PIT 44,22,22,Fred Taylor right guard for 13 yards (tackle by Troy Polamalu),2.730,3.510
4,3:34,1,10,PIT 31,22,22,Maurice Jones-Drew up the middle for -1 yards (tackle by James Harrison and Casey Hampton),3.510,2.830
4,2:53,2,11,PIT 32,22,22,David Garrard pass incomplete deep middle intended for Matt Jones,2.830,2.150
4,2:40,3,11,PIT 32,22,22,Maurice Jones-Drew up the middle for 20 yards (tackle by Anthony Smith and Tyrone Carter),2.150,4.780
4,2:06,1,10,PIT 12,22,22,Fred Taylor up the middle for no gain (tackle by Casey Hampton and James Farrior),4.780,4.100
4,2:02,,,,22,22,Timeout #1 by Pittsburgh Steelers,0.000,4.100
4,2:02,2,10,PIT 12,28,22,"Fred Taylor right guard for 12 yards, touchdown",4.100,7.000
4,,,,PIT 2,29,22,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,29,22,"Josh Scobee kicks off 58 yards, returned by Najeh Davenport for 29 yards (tackle by Lamont Thompson)",0.000,1.660
4,1:51,1,10,PIT 41,29,22,Ben Roethlisberger pass incomplete short middle intended for Nate Washington (defended by Sammy Knight),1.660,1.120
4,1:47,2,10,PIT 41,29,22,Ben Roethlisberger pass incomplete short left intended for Heath Miller,1.120,0.430
4,1:43,3,10,PIT 41,29,22,Ben Roethlisberger right end for 11 yards (tackle by Justin Durant),0.430,2.390
4,1:13,1,10,JAX 48,29,22,Ben Roethlisberger pass complete short right to Najeh Davenport for 3 yards (tackle by Justin Durant),2.390,2.250
4,1:03,,,,29,22,Timeout #2 by Pittsburgh Steelers,0.000,2.250
4,1:03,2,7,JAX 45,29,22,Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes,2.250,1.550
4,0:58,3,7,JAX 45,29,22,Ben Roethlisberger pass incomplete short middle intended for Cedrick Wilson,1.550,0.270
4,0:53,4,7,JAX 45,29,22,Ben Roethlisberger pass complete short right to Heath Miller for 6 yards (tackle by Terry Cousin),0.270,-1.530
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
4,0:41,1,10,JAX 39,29,22,David Garrard kneels for no gain,1.530,0.990
4,0:40,,,,29,22,Timeout #3 by Pittsburgh Steelers,0.000,0.990
4,0:17,2,10,JAX 39,29,22,David Garrard kneels for -1 yards,0.990,0.170
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
