Unnamed: 0,JAX,PIT
First Downs,25,13
Rush-Yds-TDs,42-224-1,18-115-0
Cmp-Att-Yd-TD-INT,17-33-197-3-1,15-32-142-3-0
Sacked-Yards,0-0,5-40
Net Pass Yards,197,102
Total Yards,421,217
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,1-10,4-34
Third Down Conv.,5-14,5-13
Fourth Down Conv.,3-3,0-1
Time of Possession,37:39,22:21
