Unnamed: 0,SFO,GNB
First Downs,22,21
Rush-Yds-TDs,32-186-1,14-45-0
Cmp-Att-Yd-TD-INT,20-26-211-2-0,30-44-303-2-1
Sacked-Yards,4-20,3-24
Net Pass Yards,191,279
Total Yards,377,324
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,8-66,10-77
Third Down Conv.,2-9,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,33:00,27:00
