Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
1,5:31,2,8,GNB 26,0,0,Kendall Hunter left end for 4 yards (tackle by Morgan Burnett),3.440,3.270
1,5:01,3,4,GNB 22,0,0,Alex Smith pass incomplete short left intended for Delanie Walker,3.270,2.070
1,4:58,4,4,GNB 22,3,0,David Akers 40 yard field goal good,2.070,3.000
1,4:58,,,SFO 35,3,0,"David Akers kicks off 65 yards, touchback",0.000,-0.280
1,4:53,1,10,GNB 20,3,0,Cedric Benson middle for 3 yards (tackle by Ray McDonald and NaVorro Bowman),0.280,0.140
1,4:24,2,7,GNB 23,3,0,Aaron Rodgers pass complete short right to Jermichael Finley for 4 yards (tackle by Chris Culliver),0.140,-0.030
1,3:54,3,3,GNB 27,3,0,Aaron Rodgers pass complete short middle to Randall Cobb for 11 yards (tackle by Perrish Cox),-0.030,1.470
1,3:23,1,10,GNB 38,3,0,Aaron Rodgers pass complete short left to Greg Jennings for 6 yards (tackle by Tarell Brown),1.470,1.730
1,3:04,2,4,GNB 44,3,0,Aaron Rodgers for 4 yards (tackle by Aldon Smith),1.730,2.130
1,2:40,1,10,GNB 48,3,0,Cedric Benson right end for 2 yards (tackle by Ray McDonald),2.130,1.850
1,2:06,2,8,,3,0,Aaron Rodgers pass incomplete deep left intended for James Jones (defended by Tarell Brown),1.850,1.160
1,1:59,3,8,,3,0,Aaron Rodgers pass complete short middle to Greg Jennings for 5 yards (tackle by Tarell Brown),1.160,0.270
1,1:27,4,3,SFO 45,3,0,"Tim Masthay punts 37 yards, fair catch by Kyle Williams",0.270,0.380
1,1:20,1,10,SFO 8,3,0,Frank Gore right guard for 5 yards (tackle by B.J. Raji and Nick Perry),-0.380,-0.410
1,0:35,2,5,SFO 13,3,0,Frank Gore left end for 2 yards (tackle by Tramon Williams),-0.410,-0.600
Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,SFO 15,3,0,"Alex Smith pass incomplete short middle intended for Kyle Williams. Penalty on Jarrett Bush: Defensive Pass Interference, 7 yards (no play)",-0.600,0.410
2,14:56,1,10,SFO 22,3,0,Frank Gore right end for 3 yards (tackle by D.J. Smith),0.410,0.270
2,14:12,2,7,SFO 25,3,0,"Alex Smith pass incomplete deep right intended for Delanie Walker. Penalty on Clay Matthews: Roughing the Passer, 15 yards (no play)",0.270,1.600
2,14:07,1,10,SFO 40,3,0,Frank Gore right end for 10 yards (tackle by C.J. Wilson and A.J. Hawk),1.600,2.260
2,13:25,1,10,,3,0,Alex Smith pass complete short right to Vernon Davis for 10 yards (tackle by Charles Woodson),2.260,2.920
2,12:57,1,10,GNB 40,3,0,Alex Smith pass complete short left to Michael Crabtree for 9 yards (tackle by Tramon Williams),2.920,3.590
2,12:29,2,1,GNB 31,3,0,Alex Smith pass complete short middle to Michael Crabtree for 16 yards (tackle by Nick Perry),3.590,4.580
2,11:54,1,10,GNB 15,3,0,Kendall Hunter right end for 1 yard (tackle by Nick Perry),4.580,4.110
2,11:14,2,9,GNB 14,9,0,"Alex Smith pass complete short middle to Randy Moss for 14 yards, touchdown",4.110,7.000
2,11:14,,,GNB 2,10,0,David Akers kicks extra point good,0.000,0.000
2,11:14,,,SFO 35,10,0,"David Akers kicks off 65 yards, touchback",0.000,-0.280
2,11:10,1,10,GNB 20,10,0,Aaron Rodgers pass complete deep left to Jordy Nelson for 28 yards (tackle by Tarell Brown),0.280,2.130
2,10:34,1,10,GNB 48,10,0,Aaron Rodgers pass complete short left to Randall Cobb for 6 yards (tackle by Tarell Brown and NaVorro Bowman),2.130,2.390
2,10:01,2,4,SFO 46,10,0,Aaron Rodgers pass complete short right to Randall Cobb for 3 yards (tackle by NaVorro Bowman),2.390,2.080
2,9:30,3,1,SFO 43,10,0,Aaron Rodgers pass complete short middle to Randall Cobb for 5 yards (tackle by Dashon Goldson),2.080,3.050
2,9:02,1,10,SFO 38,10,0,"Aaron Rodgers pass incomplete deep right intended for James Jones. Penalty on Aldon Smith: Defensive Offside, 5 yards (no play)",3.050,3.780
2,8:56,1,5,SFO 33,10,0,"Aaron Rodgers pass complete short middle to James Jones for no gain. Penalty on T.J. Lang: Illegal Use of Hands, 10 yards (no play)",3.780,2.720
2,8:29,1,15,SFO 43,10,0,Aaron Rodgers pass incomplete short right intended for Jermichael Finley,2.720,1.830
2,8:24,2,15,SFO 43,10,0,Aaron Rodgers pass complete short middle to Jordy Nelson for 13 yards (tackle by Tarell Brown),1.830,2.870
2,7:40,3,2,SFO 30,10,0,"Aaron Rodgers pass complete deep right to James Jones for 28 yards (tackle by Chris Culliver). Penalty on James Jones: Offensive Pass Interference, 10 yards (no play)",2.870,1.550
2,7:11,3,12,SFO 40,10,0,Aaron Rodgers pass complete short right to Jermichael Finley for 16 yards (tackle by Carlos Rogers),1.550,3.970
2,6:33,1,10,SFO 24,10,0,Cedric Benson right end for 1 yard (tackle by Patrick Willis),3.970,3.570
2,5:53,2,9,SFO 23,10,0,Aaron Rodgers pass complete short right to Randall Cobb for 12 yards (tackle by Perrish Cox),3.570,4.840
2,5:05,1,10,SFO 11,10,0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",4.840,4.340
2,4:47,1,15,SFO 16,10,0,"Aaron Rodgers pass incomplete deep middle intended for Jermichael Finley. Penalty on Perrish Cox: Defensive Pass Interference, 15 yards (no play)",4.340,6.970
2,4:43,1,1,SFO 1,10,6,"Aaron Rodgers pass complete short right to Jermichael Finley for 1 yard, touchdown",6.970,7.000
2,4:43,,,SFO 2,10,7,Mason Crosby kicks extra point good,0.000,0.000
2,4:43,,,GNB 35,10,7,"Mason Crosby kicks off 74 yards, touchback",0.000,-0.280
2,4:40,1,10,SFO 20,10,7,Alex Smith pass complete short right to Mario Manningham for 11 yards (tackle by Tramon Williams),0.280,1.000
2,4:40,1,10,SFO 31,10,7,Alex Smith pass complete short middle to Randy Moss for 11 yards (tackle by Morgan Burnett),1.000,1.730
2,3:27,1,10,SFO 42,10,7,Frank Gore left tackle for 5 yards (tackle by Nick Perry),1.730,1.860
2,2:52,2,5,SFO 47,10,7,Alex Smith pass incomplete short middle intended for Vernon Davis,1.860,1.160
2,2:47,3,5,SFO 47,10,7,"Alex Smith pass incomplete short right intended for Vernon Davis. Penalty on Charles Woodson: Defensive Holding, 5 yards (no play)",1.160,2.390
2,2:43,1,10,GNB 48,10,7,Frank Gore left tackle for 3 yards (tackle by D.J. Smith and A.J. Hawk),2.390,2.250
2,2:00,2,7,GNB 45,10,7,Alex Smith pass complete short left to Mario Manningham for 11 yards (tackle by Jarrett Bush),2.250,3.310
2,1:55,1,10,GNB 34,10,7,Alex Smith pass incomplete short left intended for Delanie Walker,3.310,2.770
2,1:50,2,10,GNB 34,10,7,Alex Smith pass complete short middle to Michael Crabtree for 9 yards (tackle by A.J. Hawk and Morgan Burnett),2.770,2.770
2,1:05,2,10,GNB 34,10,7,Timeout #2 by San Francisco 49ers,2.770,3.270
2,1:05,3,1,GNB 25,10,7,Frank Gore right tackle for no gain (tackle by Charles Woodson and A.J. Hawk),3.270,3.270
2,0:59,3,1,GNB 25,10,7,Timeout #1 by Green Bay Packers,3.270,1.950
2,0:59,4,1,GNB 25,13,7,David Akers 43 yard field goal good,1.950,3.000
2,0:59,,,SFO 35,13,7,"David Akers kicks off 65 yards, touchback",0.000,-0.280
2,0:55,1,10,GNB 20,13,7,"Penalty on Bryan Bulaga: False Start, 5 yards (no play)",0.280,-0.310
2,0:55,1,15,GNB 15,13,7,Aaron Rodgers pass incomplete,-0.310,-1.070
2,0:48,2,15,GNB 15,13,7,Aaron Rodgers pass complete short middle to Jermichael Finley for 7 yards (tackle by NaVorro Bowman),-1.070,-1.070
2,0:39,2,15,GNB 15,13,7,Timeout #2 by Green Bay Packers,-1.070,-0.690
2,0:39,3,8,GNB 22,13,7,Aaron Rodgers pass incomplete,-0.690,-1.900
2,0:32,4,8,GNB 22,13,7,"Tim Masthay punts 60 yards, returned by Kyle Williams for 20 yards (tackle by Rob Francois)",-1.900,-1.470
2,0:18,1,10,SFO 38,13,7,Colin Kaepernick left tackle for 17 yards (tackle by Sam Shields),1.470,1.470
2,0:11,1,10,SFO 38,13,7,Timeout #3 by San Francisco 49ers,1.470,1.470
2,0:11,1,10,SFO 38,13,7,Timeout #3 by Green Bay Packers,1.470,2.590
2,0:11,1,10,GNB 45,13,7,Alex Smith pass incomplete short right intended for Michael Crabtree,2.590,2.040
2,0:06,2,10,GNB 45,13,7,Alex Smith pass incomplete short right intended for Michael Crabtree,2.040,1.360
2,0:02,3,10,GNB 45,16,7,David Akers 63 yard field goal good,1.360,3.000
Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,16,7,"David Akers kicks off 68 yards, returned by Randall Cobb for 24 yards (tackle by Larry Grant)",0.000,-0.340
3,14:54,1,10,GNB 21,16,7,Cedric Benson left tackle for 2 yards (tackle by Justin Smith),0.340,0.070
3,14:11,2,8,GNB 23,16,7,Aaron Rodgers pass complete short right to Jordy Nelson for 7 yards (tackle by Chris Culliver),0.070,0.070
3,13:41,2,8,GNB 23,16,7,Timeout #1 by Green Bay Packers,0.070,0.300
3,13:41,3,1,GNB 30,16,7,Aaron Rodgers pass incomplete deep middle intended for Jordy Nelson,0.300,-1.370
3,13:33,4,1,GNB 30,16,7,"Tim Masthay punts 54 yards, fair catch by Kyle Williams",-1.370,0.140
3,13:25,1,10,SFO 16,16,7,Alex Smith sacked by Charles Woodson for -3 yards,-0.140,-0.990
3,12:49,2,13,SFO 13,16,7,Alex Smith pass complete short right to Mario Manningham for 5 yards (tackle by A.J. Hawk),-0.990,-1.070
3,12:17,3,8,SFO 18,16,7,Alex Smith pass complete short right to Michael Crabtree for 20 yards (tackle by D.J. Smith),-1.070,1.470
3,11:28,1,10,SFO 38,16,7,Frank Gore right end for 21 yards (tackle by A.J. Hawk),1.470,2.850
3,10:48,1,10,GNB 41,16,7,Frank Gore right tackle for 3 yards (tackle by A.J. Hawk and Morgan Burnett),2.850,2.710
3,10:06,2,7,GNB 38,16,7,Alex Smith pass complete short middle to Vernon Davis for 29 yards (tackle by Jarrett Bush),2.710,2.710
3,9:17,2,7,GNB 38,16,7,Timeout #1 by San Francisco 49ers,2.710,5.140
3,9:17,1,9,GNB 9,16,7,Kendall Hunter for 8 yards (tackle by Morgan Burnett),5.140,5.910
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
3,9:13,2,1,GNB 1,16,7,--,5.910,4.950
3,9:03,2,6,GNB 6,16,7,Alex Smith pass complete short right to Randy Moss for 2 yards (tackle by Tramon Williams and Morgan Burnett),4.950,4.490
3,8:21,3,4,GNB 4,22,7,"Alex Smith pass complete short left to Vernon Davis for 4 yards, touchdown",4.490,7.000
3,8:21,,,GNB 2,23,7,David Akers kicks extra point good,0.000,0.000
3,8:21,,,SFO 35,23,7,"David Akers kicks off 70 yards, returned by Randall Cobb for 28 yards (tackle by Delanie Walker)",0.000,-0.480
3,8:10,1,10,GNB 23,23,7,Aaron Rodgers pass complete short left to Jermichael Finley for 10 yards (tackle by Patrick Willis and Donte Whitner),0.480,1.140
3,7:44,1,10,GNB 33,23,7,Cedric Benson right end for 1 yard (tackle by Carlos Rogers),1.140,0.730
3,7:03,2,9,GNB 34,23,7,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Patrick Willis),0.730,1.800
3,6:21,1,10,GNB 43,23,7,Cedric Benson left guard for 3 yards (tackle by Ray McDonald and Dashon Goldson),1.800,1.660
3,5:39,2,7,GNB 46,23,7,Aaron Rodgers right guard for 5 yards (tackle by Patrick Willis),1.660,1.620
3,4:50,3,2,SFO 49,23,7,Aaron Rodgers pass incomplete short right intended for Jermichael Finley,1.620,0.000
3,4:46,4,2,SFO 49,23,7,"Tim Masthay punts 45 yards, out of bounds",0.000,0.380
3,4:36,1,10,SFO 4,23,7,Frank Gore left end for 7 yards (tackle by A.J. Hawk),-0.380,-0.270
3,4:10,2,3,SFO 11,23,7,Kendall Hunter left tackle for 4 yards (tackle by D.J. Smith and Nick Perry),-0.270,-0.220
3,3:28,1,10,SFO 15,23,7,Alex Smith sacked by Charles Woodson and Clay Matthews for -5 yards,-0.220,-1.150
3,2:51,2,15,SFO 10,23,7,Frank Gore left end for 16 yards (tackle by Jerron McMillian),-1.150,0.670
3,2:28,1,10,SFO 26,23,7,Kendall Hunter right end for 5 yards (tackle by D.J. Smith),0.670,0.810
3,1:43,2,5,SFO 31,23,7,Alex Smith pass incomplete deep right intended for Vernon Davis,0.810,0.100
3,1:37,3,5,SFO 31,23,7,Alex Smith pass complete short left to Michael Crabtree for 3 yards (tackle by Jarrett Bush),0.100,-1.110
3,0:53,4,2,SFO 34,23,7,"Andy Lee punts 47 yards, fair catch by Randall Cobb",-1.110,-0.150
3,0:46,1,10,GNB 19,23,7,Aaron Rodgers pass incomplete short middle intended for Jermichael Finley,0.150,-0.390
3,0:41,2,10,GNB 19,23,7,Aaron Rodgers pass complete short middle to Randall Cobb for 16 yards (tackle by Donte Whitner),-0.390,1.270
3,0:04,1,10,GNB 35,23,7,Aaron Rodgers pass complete short right to James Jones for 13 yards (tackle by Ray McDonald),1.270,2.130
Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 48,23,7,Aaron Rodgers pass complete short left to Greg Jennings for 4 yards (tackle by Tarell Brown),2.130,2.120
4,14:24,2,6,SFO 48,23,7,Aaron Rodgers pass incomplete short middle intended for Jermichael Finley (defended by NaVorro Bowman),2.120,1.420
4,14:20,3,6,SFO 48,23,7,Aaron Rodgers pass incomplete short middle intended for Greg Jennings,1.420,0.070
4,14:13,4,6,SFO 48,23,7,"Tim Masthay punts 38 yards, fair catch by Kyle Williams",0.070,0.380
4,14:06,1,10,SFO 10,23,7,Frank Gore left tackle for 3 yards (tackle by D.J. Smith and Morgan Burnett),-0.380,-0.560
4,13:22,2,7,SFO 13,23,7,"Alex Smith sacked by Morgan Burnett for 0 yards. Penalty on Joe Staley: Offensive Holding, 7 yards (no play)",-0.560,-1.070
4,13:01,2,14,SFO 6,23,7,Kendall Hunter right end for 2 yards (tackle by Nick Perry),-1.070,-1.650
4,12:17,3,12,SFO 8,23,7,Frank Gore middle for 6 yards (tackle by Nick Perry),-1.650,-2.470
4,11:35,4,6,SFO 14,23,13,"Andy Lee punts 61 yards, returned by Randall Cobb for 75 yards, touchdown",-2.470,-7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
4,11:16,,,,23,15,"Two Point Attempt: Aaron Rodgers pass complete to Jordy Nelson, conversion succeeds",0.000,1.000
4,11:16,,,GNB 35,23,15,"Mason Crosby kicks off 72 yards, touchback",0.000,-0.280
4,11:16,1,10,SFO 20,23,15,Alex Smith middle for 5 yards (tackle by Nick Perry),0.280,0.410
4,10:35,2,5,SFO 25,23,15,Kyle Williams right tackle for 3 yards (tackle by D.J. Smith),0.410,0.100
4,9:53,3,2,SFO 28,23,15,Alex Smith pass complete short left to Frank Gore for 1 yard (tackle by Sam Shields),0.100,-1.440
,,,,,,,"SFO challenged the first down ruling, and the play was upheld.",,
4,9:06,4,1,SFO 29,23,15,"Andy Lee punts 46 yards, fair catch by Randall Cobb",-1.440,-0.610
4,8:59,1,10,GNB 25,23,15,Aaron Rodgers pass incomplete short middle intended for Greg Jennings is intercepted by NaVorro Bowman at GNB-34 and returned for 11 yards,0.610,-4.040
4,8:50,1,10,GNB 23,29,15,"Frank Gore right end for 23 yards, touchdown",4.040,7.000
4,8:50,,,GNB 2,30,15,David Akers kicks extra point good,0.000,0.000
4,8:50,,,SFO 35,30,15,"David Akers kicks off 62 yards, returned by Randall Cobb for 21 yards (tackle by Chris Culliver)",0.000,-0.540
4,8:36,1,10,GNB 24,30,15,"Aaron Rodgers pass incomplete short middle intended for Greg Jennings. Penalty on Carlos Rogers: Defensive Pass Interference, 4 yards (no play)",0.540,0.810
4,8:32,1,10,GNB 28,30,15,Aaron Rodgers pass complete short left to Randall Cobb for 7 yards (tackle by Carlos Rogers),0.810,1.210
4,8:11,2,3,GNB 35,30,15,"Aaron Rodgers pass complete short left to Randall Cobb for 12 yards. Penalty on Bryan Bulaga: Offensive Holding, 10 yards (no play)",1.210,-0.140
4,7:44,2,13,GNB 25,30,15,Aaron Rodgers pass complete short right to Jordy Nelson for 7 yards (tackle by Donte Whitner),-0.140,0.100
4,7:15,3,6,GNB 32,30,15,Aaron Rodgers pass complete deep right to James Jones for 49 yards (tackle by NaVorro Bowman),0.100,4.310
4,6:50,1,10,SFO 19,30,15,Aaron Rodgers pass complete short left to James Jones for 9 yards (tackle by Donte Whitner),4.310,5.360
4,6:09,2,1,SFO 10,30,21,"Aaron Rodgers pass complete short left to James Jones for 10 yards, touchdown",5.360,7.000
4,6:09,,,SFO 2,30,22,Mason Crosby kicks extra point good,0.000,0.000
4,6:09,,,GNB 35,30,22,"Mason Crosby kicks off 70 yards, returned by Kendall Hunter for 31 yards (tackle by Casey Hayward)",0.000,-0.670
4,5:58,1,10,SFO 26,30,22,Kendall Hunter right guard for 5 yards (tackle by Ryan Pickett and A.J. Hawk),0.670,0.810
4,5:18,2,5,SFO 31,30,22,Alex Smith pass complete short right to Bruce Miller for 15 yards (tackle by A.J. Hawk),0.810,1.990
4,4:46,1,10,SFO 46,30,22,Frank Gore right tackle for no gain (tackle by D.J. Smith),1.990,1.990
4,4:01,1,10,SFO 46,30,22,Timeout #3 by San Francisco 49ers,1.990,1.450
4,4:01,2,10,SFO 46,30,22,Alex Smith sacked by Clay Matthews for -7 yards,1.450,1.450
4,3:56,2,10,SFO 46,30,22,Timeout #2 by Green Bay Packers,1.450,-0.160
4,3:56,3,17,SFO 39,30,22,Alex Smith right tackle for 5 yards (tackle by D.J. Smith),-0.160,-0.160
4,3:45,3,17,SFO 39,30,22,Timeout #3 by Green Bay Packers,-0.160,-0.460
4,3:45,4,12,SFO 44,30,22,"Andy Lee punts 41 yards, returned by Randall Cobb for 1 yard (tackle by Tramaine Brock)",-0.460,0.140
4,3:37,1,10,GNB 16,30,22,Aaron Rodgers pass incomplete short left intended for Greg Jennings (defended by Donte Whitner),-0.140,-0.660
4,3:34,2,10,GNB 16,30,22,Aaron Rodgers left guard for 1 yard (tackle by Ahmad Brooks),-0.660,-1.200
4,3:00,3,9,GNB 17,30,22,Aaron Rodgers pass complete short middle to Randall Cobb for 10 yards (tackle by NaVorro Bowman),-1.200,0.740
4,2:35,1,10,GNB 27,30,22,Aaron Rodgers pass complete short middle to Jermichael Finley for 5 yards (tackle by NaVorro Bowman),0.740,0.870
4,2:10,2,5,GNB 32,30,22,Aaron Rodgers pass complete short middle to Greg Jennings for 9 yards (tackle by Chris Culliver),0.870,1.660
4,2:00,1,10,GNB 41,30,22,"Penalty on Ahmad Brooks: Neutral Zone Infraction, 5 yards (no play)",1.660,2.390
4,2:00,1,5,GNB 46,30,22,Aaron Rodgers for 9 yards (tackle by Aldon Smith),2.390,2.590
4,1:53,1,10,SFO 45,30,22,Aaron Rodgers pass incomplete short left intended for James Jones,2.590,2.040
4,1:50,2,10,SFO 45,30,22,Aaron Rodgers sacked by Ahmad Brooks for -7 yards,2.040,0.430
4,1:22,3,17,GNB 48,30,22,Aaron Rodgers pass complete short middle to Randall Cobb for 7 yards (tackle by Dashon Goldson),0.430,0.270
4,0:54,4,10,SFO 45,30,22,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson (defended by Chris Culliver),0.270,-1.930
4,0:49,1,10,SFO 45,30,22,Alex Smith kneels for -1 yards,1.930,1.250
4,0:26,2,11,SFO 44,30,22,Alex Smith kneels for -1 yards,1.250,0.430
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
