Quarter,Time,Tm,Detail,PHI,DAL
1.0,6:10,Eagles,Terrell Owens 59 yard pass from Donovan McNabb (David Akers kick),7,0
2.0,14:53,Eagles,Dorsey Levens 4 yard rush (David Akers kick),14,0
,13:15,Cowboys,Jason Witten 29 yard pass from Vinny Testaverde (Billy Cundiff kick),14,7
,9:45,Eagles,Terrell Owens 27 yard pass from Donovan McNabb (David Akers kick),21,7
,8:02,Eagles,Todd Pinkston 59 yard pass from Donovan McNabb (David Akers kick),28,7
,3:23,Cowboys,Jason Witten 24 yard pass from Vinny Testaverde (Billy Cundiff kick),28,14
,0:28,Eagles,Brian Westbrook 1 yard rush (David Akers kick),35,14
3.0,11:15,Cowboys,Eddie George 15 yard rush (Billy Cundiff kick),35,21
,6:04,Eagles,Terrell Owens 16 yard pass from Donovan McNabb (David Akers kick),42,21
4.0,4:19,Eagles,Lito Sheppard 101 yard interception return (David Akers kick),49,21
