Unnamed: 0,PHI,DAL
First Downs,20,14
Rush-Yds-TDs,33-149-2,24-71-1
Cmp-Att-Yd-TD-INT,15-27-345-4-0,21-30-254-2-1
Sacked-Yards,1-9,1-8
Net Pass Yards,336,246
Total Yards,485,317
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,9-59,7-50
Third Down Conv.,6-12,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:10,29:50
