Unnamed: 0,JAX,IND
First Downs,12,21
Rush-Yds-TDs,26-114-1,31-71-1
Cmp-Att-Yd-TD-INT,14-28-122-0-0,28-38-301-1-1
Sacked-Yards,1-8,1-7
Net Pass Yards,114,294
Total Yards,228,365
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,3-24,3-17
Third Down Conv.,6-15,8-14
Fourth Down Conv.,1-2,0-2
Time of Possession,26:04,33:56
