Unnamed: 0,NOR,CAR
First Downs,20,10
Rush-Yds-TDs,30-126-0,18-81-1
Cmp-Att-Yd-TD-INT,30-45-281-1-2,13-22-181-1-1
Sacked-Yards,6-42,4-40
Net Pass Yards,239,141
Total Yards,365,222
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,4-40,3-26
Third Down Conv.,5-18,0-9
Fourth Down Conv.,0-1,0-0
Time of Possession,38:48,21:12
