#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:14,GNB 38,5,2:35,29,Fumble
2,1,10:11,GNB 39,7,2:55,13,Field Goal
3,1,7:09,GNB 32,1,0:15,32,Touchdown
4,1,5:45,PHI 29,3,1:04,2,Punt
5,1,3:05,PHI 24,4,1:47,12,Punt
6,2,13:49,PHI 24,3,1:00,5,Punt
7,2,6:15,PHI 20,6,3:43,11,Punt
8,2,0:35,PHI 28,1,0:35,-1,End of Half
9,3,15:00,PHI 27,3,1:27,6,Punt
10,3,11:41,PHI 16,10,5:01,63,Field Goal
11,3,4:37,,3,0:23,0,Punt
12,4,14:50,PHI 20,3,0:58,3,Punt
13,4,10:41,PHI 20,12,6:10,60,Field Goal
14,4,4:23,GNB 25,6,2:34,10,Field Goal
15,4,0:38,PHI 20,1,0:38,4,End of Game
