Unnamed: 0,GNB,PHI
First Downs,18,15
Rush-Yds-TDs,30-128-1,35-176-1
Cmp-Att-Yd-TD-INT,15-33-171-1-2,12-28-91-0-0
Sacked-Yards,1-7,1-3
Net Pass Yards,164,88
Total Yards,292,264
Fumbles-Lost,4-3,2-1
Turnovers,5,1
Penalties-Yards,7-40,7-50
Third Down Conv.,6-14,4-16
Fourth Down Conv.,1-1,1-1
Time of Possession,28:55,31:05
