Quarter,Time,Tm,Detail,SEA,SFO
1.0,12:33,49ers,Vernon Davis 42 yard pass from Alex Smith (Jeff Reed kick),0,7
,4:14,Seahawks,Ruvell Martin 11 yard pass from Matt Hasselbeck (Olindo Mare kick),7,7
,0:00,49ers,Jeff Reed 33 yard field goal,7,10
2.0,10:31,49ers,Jeff Reed 44 yard field goal,7,13
,8:04,49ers,Josh Morgan 15 yard pass from Alex Smith (Jeff Reed kick),7,20
,1:50,49ers,Brian Westbrook 62 yard pass from Alex Smith (Jeff Reed kick),7,27
,0:00,49ers,Jeff Reed 22 yard field goal,7,30
3.0,14:11,49ers,Dashon Goldson 39 yard interception return (Jeff Reed kick),7,37
,3:32,49ers,Jeff Reed 36 yard field goal,7,40
,3:18,Seahawks,Leon Washington 92 yard kickoff return (Olindo Mare kick),14,40
4.0,1:55,Seahawks,Deon Butler 2 yard pass from Matt Hasselbeck (Olindo Mare kick),21,40
