Unnamed: 0,SEA,SFO
First Downs,20,10
Rush-Yds-TDs,22-84-0,27-95-0
Cmp-Att-Yd-TD-INT,27-42-285-2-4,17-27-255-3-0
Sacked-Yards,1-8,2-14
Net Pass Yards,277,241
Total Yards,361,336
Fumbles-Lost,2-1,0-0
Turnovers,5,0
Penalties-Yards,8-75,2-15
Third Down Conv.,4-10,7-17
Fourth Down Conv.,0-2,0-0
Time of Possession,29:07,30:53
