Unnamed: 0,MIA,BUF
First Downs,18,20
Rush-Yds-TDs,21-65-2,40-224-0
Cmp-Att-Yd-TD-INT,23-44-247-0-2,11-23-165-4-0
Sacked-Yards,5-27,0-0
Net Pass Yards,220,165
Total Yards,285,389
Fumbles-Lost,8-3,2-1
Turnovers,5,1
Penalties-Yards,6-55,8-64
Third Down Conv.,4-16,4-12
Fourth Down Conv.,1-3,0-0
Time of Possession,29:30,30:30
