Quarter,Time,Tm,Detail,OAK,NYJ
1.0,9:56,Raiders,Daniel Carlson 48 yard field goal,3,0
,5:02,Jets,Sam Ficken 24 yard field goal,3,3
2.0,10:44,Jets,Sam Darnold 4 yard rush (Sam Ficken kick),3,10
,3:12,Jets,Sam Ficken 35 yard field goal,3,13
3.0,12:58,Jets,Ryan Griffin 1 yard pass from Sam Darnold (Sam Ficken kick),3,20
,6:39,Jets,Robbie Chosen 1 yard pass from Sam Darnold (Sam Ficken kick),3,27
,6:25,Jets,Brian Poole 15 yard interception return (Sam Ficken kick),3,34
