Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
1,5:41,2,10,OAK 10,3,0,Sam Darnold pass complete short left to Le'Veon Bell for 4 yards (tackle by Nicholas Morrow),4.190,4.040
1,5:13,3,6,OAK 6,3,0,Sam Darnold pass incomplete short right intended for Jamison Crowder,4.040,2.990
1,5:05,4,6,OAK 6,3,3,Sam Ficken 24 yard field goal good,2.990,3.000
1,5:02,,,NYJ 35,3,3,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
1,5:02,1,10,OAK 25,3,3,Derek Carr pass complete short left to Jalen Richard for 17 yards (tackle by James Burgess),0.610,1.730
1,4:24,1,10,OAK 42,3,3,Derek Carr pass incomplete short left intended for Darren Waller (defended by James Burgess),1.730,1.190
1,4:20,2,10,OAK 42,3,3,Josh Jacobs left guard for 2 yards (tackle by Kyle Phillips),1.190,0.760
1,3:38,3,8,OAK 44,3,3,"Penalty on Richie Incognito: False Start, 5 yards (no play)",0.760,0.100
1,3:16,3,13,OAK 39,3,3,Derek Carr pass incomplete deep middle intended for Tyrell Williams,0.100,-0.780
1,3:10,4,13,OAK 39,3,3,A.J. Cole punts 57 yards downed by Isaiah Johnson,-0.780,0.380
1,2:56,1,10,NYJ 4,3,3,Le'Veon Bell left tackle for 2 yards (tackle by Nicholas Morrow),-0.380,-0.630
1,2:19,2,8,NYJ 6,3,3,Sam Darnold pass complete short left to Le'Veon Bell for 17 yards (tackle by Nicholas Morrow),-0.630,0.480
1,1:51,1,10,NYJ 23,3,3,Le'Veon Bell left guard for no gain (tackle by Johnathan Hankins),0.480,-0.070
1,1:16,2,10,NYJ 23,3,3,Sam Darnold pass complete short right to Jamison Crowder for 15 yards (tackle by Nevin Lawson),-0.070,1.470
1,0:40,1,10,NYJ 38,3,3,Le'Veon Bell right guard for 1 yard (tackle by D.J. Swearinger and Maurice Hurst),1.470,1.060
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYJ 39,3,3,Sam Darnold pass complete short left to Ryan Griffin for 12 yards (tackle by Erik Harris),1.060,2.320
2,14:23,1,10,OAK 49,3,3,Le'Veon Bell right tackle for 12 yards (tackle by Curtis Riley),2.320,3.120
2,13:46,1,10,OAK 37,3,3,Sam Darnold pass complete short right to Le'Veon Bell for 12 yards (tackle by Curtis Riley),3.120,3.910
2,13:17,1,10,OAK 25,3,3,Le'Veon Bell up the middle for 6 yards (tackle by Curtis Riley),3.910,4.200
2,12:39,2,4,OAK 19,3,3,Bilal Powell up the middle for 5 yards (tackle by Nicholas Morrow),4.200,4.650
2,12:03,1,10,OAK 14,3,3,Sam Darnold pass complete short right to Bilal Powell for 5 yards (tackle by D.J. Swearinger),4.650,4.900
2,11:16,2,5,OAK 9,3,3,"Sam Darnold sacked by Maxx Crosby for no gain. Penalty on Maurice Hurst: Roughing the Passer, 5 yards (no play)",4.900,6.280
2,10:48,1,4,OAK 4,3,9,"Sam Darnold right tackle for 4 yards, touchdown",6.280,7.000
2,10:44,,,OAK 15,3,10,Sam Ficken kicks extra point good,0.000,0.000
2,10:44,,,NYJ 35,3,10,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
2,10:44,1,10,OAK 25,3,10,Derek Carr sacked by and Jamal Adams for -7 yards and Brandon Copeland for -7 yards,0.610,-0.980
2,10:01,2,17,OAK 18,3,10,Josh Jacobs left end for 15 yards (tackle by Neville Hewitt),-0.980,0.430
2,9:14,3,2,OAK 33,3,10,Derek Carr pass complete short left to Darren Waller for 15 yards (tackle by Jamal Adams),0.430,2.130
2,8:30,1,10,OAK 48,3,10,Derek Carr pass complete short right to Darren Waller for 19 yards (tackle by Marcus Maye),2.130,3.380
2,7:54,1,10,NYJ 33,3,10,Derek Carr pass incomplete deep middle intended for Darren Waller,3.380,2.840
2,7:48,2,10,NYJ 33,3,10,DeAndre Washington up the middle for 8 yards (tackle by Jordan Jenkins),2.840,3.200
2,7:20,,,,,,Timeout #1 by Oakland Raiders,,
2,7:20,3,2,NYJ 25,3,10,Derek Carr pass incomplete short left intended for Hunter Renfrow (defended by Blessuan Austin),3.200,1.930
2,7:17,4,2,NYJ 25,3,10,Daniel Carlson 43 yard field goal no good,1.930,-1.140
2,7:13,1,10,NYJ 33,3,10,Bilal Powell up the middle for 3 yards (tackle by Maxx Crosby),1.140,1.000
2,6:43,2,7,NYJ 36,3,10,Sam Darnold pass incomplete short middle intended for Bilal Powell,1.000,0.300
2,6:40,3,7,NYJ 36,3,10,"Sam Darnold aborted snap, recovered by Sam Darnold at NYJ-31 Sam Darnold pass complete short left to Demaryius Thomas for 14 yards (tackle by Tahir Whitehead)",0.300,2.260
2,6:13,1,10,NYJ 50,3,10,Sam Darnold pass incomplete short right,2.260,1.710
2,6:07,2,10,NYJ 50,3,10,Bilal Powell left end for 7 yards (tackle by William Compton and Nicholas Morrow),1.710,1.950
2,5:27,3,3,OAK 43,3,10,Sam Darnold pass complete deep middle to Robby Anderson for 31 yards (tackle by Nicholas Morrow),1.950,4.780
2,4:43,1,10,OAK 12,3,10,Bilal Powell right end for -3 yards (tackle by Tahir Whitehead),4.780,3.660
2,4:04,2,13,OAK 15,3,10,Sam Darnold sacked by Maxx Crosby for -2 yards,3.660,2.840
2,3:21,3,15,OAK 17,3,10,Sam Darnold pass incomplete short right,2.840,2.310
2,3:16,4,15,OAK 17,3,13,Sam Ficken 35 yard field goal good,2.310,3.000
2,3:12,,,NYJ 35,3,13,"Sam Ficken kicks off 66 yards, returned by Trevor Davis for 22 yards (tackle by Tarell Basham)",0.000,0.340
2,3:08,1,10,OAK 21,3,13,Josh Jacobs right end for 3 yards (tackle by Arthur Maulet and Jamal Adams),0.340,0.210
2,2:39,2,7,OAK 24,3,13,Derek Carr pass incomplete short left intended for Jalen Richard,0.210,-0.490
2,2:34,3,7,OAK 24,3,13,Derek Carr pass complete short right to Jalen Richard for -2 yards (tackle by Arthur Maulet),-0.490,-1.900
2,2:00,4,9,OAK 22,3,13,"A.J. Cole punts 44 yards, returned by Braxton Berrios for 26 yards (tackle by A.J. Cole). Penalty on A.J. Cole: Unnecessary Roughness, 15 yards",-1.900,-3.910
2,1:49,1,10,OAK 25,3,13,Le'Veon Bell right guard for 2 yards (tackle by Maxx Crosby and Johnathan Hankins),3.910,3.630
2,1:08,2,8,OAK 23,3,13,"Sam Darnold pass complete short left to Ty Montgomery for 20 yards (tackle by Erik Harris). Penalty on Alex Lewis: Offensive Holding, 10 yards (no play)",3.630,2.280
2,1:01,2,18,OAK 33,3,13,Sam Darnold pass complete short left to Jamison Crowder for 3 yards (tackle by Nevin Lawson),2.280,2.010
2,0:47,,,,,,Timeout #2 by Oakland Raiders,,
2,0:47,3,15,OAK 30,3,13,Sam Darnold pass incomplete short middle,2.010,1.410
2,0:44,4,15,OAK 30,3,13,Sam Ficken 48 yard field goal no good,1.410,-1.470
2,0:40,1,10,OAK 38,3,13,Derek Carr pass complete short right to Jalen Richard for 7 yards (tackle by James Burgess),1.470,1.870
2,0:21,2,3,OAK 45,3,13,Derek Carr spiked the ball,1.870,1.160
2,0:20,3,3,OAK 45,3,13,Derek Carr pass incomplete short left intended for Darren Waller,1.160,-0.390
2,0:15,4,3,OAK 45,3,13,A.J. Cole punts 41 yards downed by Isaiah Johnson,-0.390,0.280
2,0:07,1,10,NYJ 14,3,13,Sam Darnold kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,3,13,"Daniel Carlson kicks off 65 yards, returned by Vyncint Smith for 19 yards (tackle by Erik Harris)",0.000,0.150
3,14:55,1,10,NYJ 19,3,13,Le'Veon Bell right end for 6 yards (tackle by Trayvon Mullen),0.150,0.480
3,14:20,2,4,NYJ 25,3,13,Le'Veon Bell left tackle for 5 yards (tackle by D.J. Swearinger),0.480,0.940
3,13:39,1,10,NYJ 30,3,13,Sam Darnold pass complete short left to Braxton Berrios for 69 yards (tackle by Erik Harris),0.940,6.970
3,13:05,1,1,OAK 1,3,19,"Sam Darnold pass complete short left to Ryan Griffin for 1 yard, touchdown",6.970,7.000
3,12:58,,,OAK 15,3,20,Sam Ficken kicks extra point good,0.000,0.000
3,12:58,,,NYJ 35,3,20,"Sam Ficken kicks off 63 yards, returned by Trevor Davis for 14 yards (tackle by B.J. Bello)",0.000,-0.140
3,12:54,1,10,OAK 16,3,20,Josh Jacobs right guard for no gain (tackle by Jordan Jenkins and Henry Anderson),-0.140,-0.660
3,12:17,2,10,OAK 16,3,20,Derek Carr pass complete short right to Foster Moreau for 3 yards (tackle by Blessuan Austin),-0.660,-0.950
3,12:17,3,7,OAK 19,3,20,Derek Carr up the middle for 11 yards (tackle by Neville Hewitt),-0.950,0.940
3,11:09,1,10,OAK 30,3,20,Josh Jacobs up the middle for 7 yards (tackle by Jamal Adams),0.940,1.340
3,10:32,2,3,OAK 37,3,20,"Josh Jacobs left guard for -2 yards (tackle by Folorunso Fatukasi). Penalty on Rodney Hudson: Offensive Holding, 10 yards (no play)",1.340,-0.010
3,10:17,2,13,OAK 27,3,20,Derek Carr pass complete short right to Hunter Renfrow for 11 yards (tackle by Kyle Phillips and Marcus Maye),-0.010,0.760
3,9:31,3,2,OAK 38,3,20,Josh Jacobs up the middle for 1 yard (tackle by Brandon Copeland),0.760,-0.780
3,8:49,4,1,OAK 39,3,20,Alec Ingold up the middle for no gain (tackle by Marcus Maye and Blessuan Austin),-0.780,-2.980
3,8:40,1,10,OAK 39,3,20,Sam Darnold pass complete deep right to Robby Anderson for 30 yards (tackle by Nevin Lawson),2.980,5.140
3,8:00,1,9,OAK 9,3,20,Le'Veon Bell right tackle for 5 yards (tackle by Erik Harris),5.140,5.340
3,7:20,2,4,OAK 4,3,20,Sam Darnold pass complete short right to Le'Veon Bell for 3 yards (tackle by Erik Harris),5.340,5.170
3,6:44,3,1,OAK 1,3,26,"Sam Darnold pass complete short right to Robby Anderson for 1 yard, touchdown",5.170,7.000
3,6:39,,,OAK 15,3,27,Sam Ficken kicks extra point good,0.000,0.000
3,6:39,,,NYJ 35,3,27,"Sam Ficken kicks off 64 yards, returned by Trevor Davis for 12 yards (tackle by Marcus Maye)",0.000,-0.320
3,6:32,1,10,OAK 13,3,33,"Derek Carr pass short left (defended by Neville Hewitt) intended for Tyrell Williams is intercepted by Brian Poole at OAK-15 and returned for 15 yards, touchdown",-0.320,-7.000
3,6:25,,,OAK 15,3,34,Sam Ficken kicks extra point good,0.000,0.000
3,6:25,,,NYJ 35,3,34,"Sam Ficken kicks off 63 yards, returned by Trevor Davis for 22 yards (tackle by Harvey Langi and Tarell Basham)",0.000,0.540
3,6:16,1,10,OAK 24,3,34,Josh Jacobs up the middle for 2 yards (tackle by Jamal Adams),0.540,0.270
3,5:42,2,8,OAK 26,3,34,Derek Carr pass incomplete short middle intended for Tyrell Williams,0.270,-0.430
3,5:39,3,8,OAK 26,3,34,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Henry Anderson),-0.430,1.270
3,4:56,1,10,OAK 35,3,34,Derek Carr pass complete short right to DeAndre Washington for no gain (tackle by Jamal Adams),1.270,0.720
3,4:11,2,10,OAK 35,3,34,Derek Carr pass complete short middle to Zay Jones for 6 yards (tackle by James Burgess),0.720,0.830
3,3:29,3,4,OAK 41,3,34,Derek Carr pass incomplete short left intended for Trevor Davis,0.830,-0.650
3,3:26,4,4,OAK 41,3,34,"A.J. Cole punts 44 yards, fair catch by Braxton Berrios at NYJ-15",-0.650,0.220
3,3:19,1,10,NYJ 15,3,34,Le'Veon Bell right guard for 3 yards (tackle by Clelin Ferrell and Nicholas Morrow),-0.220,-0.280
3,2:39,2,7,NYJ 18,3,34,Sam Darnold pass complete short left to Ryan Griffin for no gain (tackle by Tahir Whitehead),-0.280,-1.000
3,2:05,3,7,NYJ 18,3,34,Sam Darnold pass incomplete short right intended for Jamison Crowder,-1.000,-2.240
3,2:00,4,7,NYJ 18,3,34,"Lac Edwards punts 59 yards, returned by Trevor Davis for 11 yards (tackle by Maurice Canady)",-2.240,-1.200
3,1:49,1,10,OAK 34,3,34,"Mike Glennon aborted snap, recovered by James Burgess at OAK-36 and returned for -4 yards. James Burgess fumbles, recovered by Kolton Miller at OAK-38 (tackle by James Burgess)",1.200,1.470
3,1:13,1,10,OAK 38,3,34,DeAndre Washington right tackle for 2 yards (tackle by James Burgess),1.470,1.190
3,0:37,2,8,OAK 40,3,34,"Mike Glennon aborted snap, recovered by Mike Glennon at OAK-37 and returned for -3 yards",1.190,0.100
Quarter,Time,Down,ToGo,Location,OAK,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,11,OAK 37,3,34,Mike Glennon pass complete short right to Jalen Richard for 9 yards (tackle by Brandon Copeland and James Burgess),0.100,-0.320
4,14:19,4,2,OAK 46,3,34,A.J. Cole punts 32 yards out of bounds,-0.320,-0.410
4,14:12,1,10,NYJ 22,3,34,Sam Darnold pass incomplete short left intended for Demaryius Thomas (defended by Daryl Worley),0.410,-0.130
4,14:08,2,10,NYJ 22,3,34,Bilal Powell right tackle for 3 yards (tackle by Clelin Ferrell and William Compton),-0.130,-0.430
4,13:30,3,7,NYJ 25,3,34,"Sam Darnold pass incomplete deep right intended for Robby Anderson. Penalty on Robby Anderson: Unsportsmanlike Conduct, 12 yards",-0.430,-2.490
4,13:25,4,19,NYJ 13,3,34,"Lac Edwards punts 45 yards, fair catch by Trevor Davis at OAK-42",-2.490,-1.730
4,13:18,1,10,OAK 42,3,34,Jalen Richard up the middle for 5 yards (tackle by Neville Hewitt and Arthur Maulet),1.730,1.860
4,12:50,2,5,OAK 47,3,34,Mike Glennon pass complete short left to Tyrell Williams for 6 yards (tackle by Blessuan Austin),1.860,2.460
4,12:23,1,10,NYJ 47,3,34,Jalen Richard left guard for -1 yards (tackle by Quinnen Williams and Kyle Phillips),2.460,1.780
4,11:50,2,11,NYJ 48,3,34,Mike Glennon pass incomplete deep left intended for Tyrell Williams (defended by Marcus Maye),1.780,1.090
4,11:43,3,11,NYJ 48,3,34,Mike Glennon pass incomplete short right intended for Marcell Ateman,1.090,0.070
4,11:39,4,11,NYJ 48,3,34,"A.J. Cole punts 48 yards, touchback.",0.070,-0.280
4,11:32,1,10,NYJ 20,3,34,Ty Montgomery left end for 3 yards (tackle by William Compton),0.280,0.140
4,10:46,2,7,NYJ 23,3,34,Sam Darnold pass complete short middle to Vyncint Smith for 22 yards (tackle by Trayvon Mullen),0.140,1.930
4,10:03,1,10,NYJ 45,3,34,Ty Montgomery left guard for -5 yards (tackle by Curtis Riley),1.930,0.710
4,9:24,2,15,NYJ 40,3,34,Ty Montgomery left guard for -1 yards (tackle by Johnathan Hankins and Erik Harris),0.710,-0.100
4,8:44,3,16,NYJ 39,3,34,Sam Darnold pass complete short right to Ty Montgomery for 21 yards (tackle by Curtis Riley),-0.100,2.920
4,8:03,1,10,OAK 40,3,34,Ty Montgomery up the middle for 4 yards (tackle by William Compton),2.920,2.910
4,7:20,2,6,OAK 36,3,34,Ty Montgomery up the middle for 1 yard (tackle by Johnathan Hankins and Nicholas Morrow),2.910,2.340
4,6:35,3,5,OAK 35,3,34,Sam Darnold pass incomplete deep right intended for Ty Montgomery (defended by D.J. Swearinger),2.340,0.980
4,6:30,4,5,OAK 35,3,34,"Penalty on NYJ: Delay of Game, 5 yards (no play)",0.980,0.590
4,6:30,4,10,OAK 40,3,34,"Lac Edwards punts 40 yards, touchback.",0.590,-0.280
4,6:22,1,10,OAK 20,3,34,DeAndre Washington left end for 8 yards (tackle by James Burgess and Brian Poole),0.280,0.810
4,5:48,2,2,OAK 28,3,34,DeAndre Washington right tackle for 2 yards (tackle by Arthur Maulet),0.810,0.940
4,5:08,1,10,OAK 30,3,34,Mike Glennon pass complete short right to Darren Waller for 7 yards (tackle by Arthur Maulet),0.940,1.340
4,4:25,2,3,OAK 37,3,34,"Mike Glennon aborted snap, recovered by Mike Glennon at OAK-32 Mike Glennon pass complete short right to Jalen Richard for -2 yards (tackle by Arthur Maulet)",1.340,0.370
4,3:38,3,5,OAK 35,3,34,Mike Glennon pass incomplete short left intended for Trevor Davis,0.370,-1.040
4,3:34,4,5,OAK 35,3,34,"A.J. Cole punts 49 yards, fair catch by Braxton Berrios at NYJ-16",-1.040,0.140
4,3:28,1,10,NYJ 16,3,34,Josh Adams left end for 10 yards (tackle by Tahir Whitehead),-0.140,0.670
4,3:21,1,10,NYJ 26,3,34,Josh Adams up the middle for -4 yards (tackle by Maxx Crosby),0.670,-0.410
4,2:40,2,14,NYJ 22,3,34,Josh Adams left guard for 2 yards (tackle by P.J. Hall),-0.410,-0.820
4,2:00,3,12,NYJ 24,3,34,Josh Adams right end for -2 yards (tackle by Nicholas Morrow and Clelin Ferrell),-0.820,-1.900
4,1:11,4,14,NYJ 22,3,34,"Lac Edwards punts 46 yards, returned by Trevor Davis for 3 yards (tackle by Vyncint Smith and Maurice Canady)",-1.900,-1.270
4,0:58,1,10,OAK 35,3,34,DeAndre Washington left tackle for 3 yards (tackle by Neville Hewitt and James Burgess),1.270,1.130
4,0:29,2,7,OAK 38,3,34,DeAndre Washington left tackle for -4 yards (tackle by James Burgess),1.130,-0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
