Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Josh Jacobs,OAK,10,34,0,,16,1.6,18,1.8,2,5.0
DeAndre Washington,OAK,6,19,0,1,8,1.3,11,1.8,0,
Mike Glennon,OAK,2,0,0,0,0,0.0,0,0.0,0,
Jalen Richard,OAK,2,4,0,0,1,0.5,3,1.5,0,
Derek Carr,OAK,1,11,0,1,10,10.0,1,1.0,0,
Alec Ingold,OAK,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Le'Veon Bell,NYJ,12,49,0,2,22,1.8,27,2.3,1,12.0
Ty Montgomery,NYJ,5,2,0,0,-3,-0.6,5,1.0,0,
Bilal Powell,NYJ,5,15,0,1,7,1.4,8,1.6,0,
Josh Adams,NYJ,4,6,0,1,5,1.3,1,0.3,0,
Sam Darnold,NYJ,4,16,1,1,15,3.8,1,0.3,0,
