Unnamed: 0,SDG,SEA
First Downs,14,18
Rush-Yds-TDs,33-168-0,33-153-2
Cmp-Att-Yd-TD-INT,10-30-181-2-0,17-37-189-0-2
Sacked-Yards,1-9,6-28
Net Pass Yards,172,161
Total Yards,340,314
Fumbles-Lost,2-0,1-0
Turnovers,0,2
Penalties-Yards,10-85,6-50
Third Down Conv.,4-16,10-21
Fourth Down Conv.,0-0,0-0
Time of Possession,27:09,32:51
