Quarter,Time,Tm,Detail,SDG,SEA
2.0,3:18,Chargers,Vincent Jackson 9 yard pass from Philip Rivers (Nate Kaeding kick),7,0
3.0,12:12,Chargers,Nate Kaeding 46 yard field goal,10,0
,6:10,Seahawks,Shaun Alexander 33 yard rush (Josh Brown kick),10,7
,2:24,Chargers,Nate Kaeding 40 yard field goal,13,7
4.0,12:58,Seahawks,Shaun Alexander 9 yard rush (Josh Brown kick),13,14
,5:07,Seahawks,Josh Brown 33 yard field goal,13,17
,0:29,Chargers,Vincent Jackson 37 yard pass from Philip Rivers (Nate Kaeding kick),20,17
