Quarter,Time,Tm,Detail,CLE,PIT
2.0,7:53,Steelers,Shaun Suisham 41 yard field goal,0,3
,3:48,Browns,Phil Dawson 51 yard field goal,3,3
,0:47,Steelers,Leonard Pope 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,10
3.0,11:03,Browns,Greg Little 7 yard pass from Thaddeus Lewis (Phil Dawson kick),10,10
,4:39,Steelers,Antonio Brown 9 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,17
4.0,3:20,Steelers,Plaxico Burress 12 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,24
