Unnamed: 0,CLE,PIT
First Downs,18,17
Rush-Yds-TDs,26-138-0,28-91-0
Cmp-Att-Yd-TD-INT,22-32-204-1-1,15-23-134-3-0
Sacked-Yards,4-22,2-13
Net Pass Yards,182,121
Total Yards,320,212
Fumbles-Lost,3-3,0-0
Turnovers,4,0
Penalties-Yards,9-79,3-58
Third Down Conv.,3-10,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,29:39,30:21
