Unnamed: 0,NOR,NYG
First Downs,22,24
Rush-Yds-TDs,24-142-1,27-135-2
Cmp-Att-Yd-TD-INT,26-43-354-1-2,22-35-259-4-2
Sacked-Yards,1-9,0-0
Net Pass Yards,345,259
Total Yards,487,394
Fumbles-Lost,2-2,1-0
Turnovers,4,2
Penalties-Yards,10-81,6-55
Third Down Conv.,5-13,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:18,29:42
