Unnamed: 0,PIT,CLE
First Downs,12,20
Rush-Yds-TDs,26-172-1,29-96-1
Cmp-Att-Yd-TD-INT,15-28-106-0-0,24-43-165-0-1
Sacked-Yards,3-29,1-2
Net Pass Yards,77,163
Total Yards,249,259
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-46,1-10
Third Down Conv.,3-14,4-17
Fourth Down Conv.,1-1,1-1
Time of Possession,28:33,31:27
