Quarter,Time,Tm,Detail,PIT,CLE
1.0,4:35,Browns,Jerome Ford 1 yard rush (Dustin Hopkins kick),0,7
2.0,0:05,Browns,Dustin Hopkins 25 yard field goal,0,10
3.0,14:10,Steelers,Jaylen Warren 74 yard rush (Chris Boswell kick),7,10
4.0,7:40,Steelers,Chris Boswell 28 yard field goal,10,10
,0:02,Browns,Dustin Hopkins 34 yard field goal,10,13
