Unnamed: 0,DET,GNB
First Downs,14,17
Rush-Yds-TDs,17-56-0,35-200-1
Cmp-Att-Yd-TD-INT,26-55-241-0-3,15-28-132-2-1
Sacked-Yards,1-4,0-0
Net Pass Yards,237,132
Total Yards,293,332
Fumbles-Lost,1-0,2-1
Turnovers,3,2
Penalties-Yards,7-60,7-35
Third Down Conv.,6-20,6-15
Fourth Down Conv.,1-2,0-0
Time of Possession,27:16,32:44
