Quarter,Time,Down,ToGo,Location,NWE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,HOU 20,0,0,Chris Polk right tackle for 4 yards (tackle by Malcom Brown),0.280,0.270
1,14:28,2,6,HOU 24,0,0,Chris Polk right tackle for -2 yards (tackle by Jerod Mayo),0.270,-0.690
1,13:47,3,8,HOU 22,0,0,Brian Hoyer sacked by Dominique Easley for -8 yards,-0.690,-2.470
1,13:16,4,16,HOU 14,0,0,"Shane Lechler punts 55 yards, returned by Keshawn Martin for 13 yards (tackle by Brian Peters). Penalty on Eric Martin: Illegal Block Above the Waist, 10 yards",-2.470,-1.200
1,13:01,1,10,NWE 34,0,0,LeGarrette Blount left guard for 2 yards (tackle by Jadeveon Clowney and Brian Cushing),1.200,0.930
1,12:25,2,8,NWE 36,0,0,LeGarrette Blount left tackle for -2 yards (tackle by Jared Crick and Vince Wilfork),0.930,-0.030
1,11:44,3,10,NWE 34,0,0,Tom Brady pass incomplete deep left intended for Brandon LaFell (defended by Johnathan Joseph),-0.030,-1.110
1,11:35,4,10,NWE 34,0,0,Ryan Allen punts 53 yards (tackle by Matt Slater),-1.110,-0.540
1,11:23,1,10,HOU 24,0,0,Brian Hoyer pass complete short left to Chris Polk for 5 yards (tackle by Jamie Collins and Logan Ryan),0.540,0.670
1,10:49,2,5,HOU 29,0,0,Chris Polk right guard for 2 yards (tackle by Jamie Collins and Jerod Mayo),0.670,0.230
1,10:10,3,3,HOU 31,0,0,Cecil Shorts for no gain (tackle by Rob Ninkovich),0.230,-1.310
1,9:43,4,3,HOU 31,0,0,"Shane Lechler punts 42 yards, returned by Keshawn Martin for 21 yards (tackle by Brian Peters)",-1.310,-2.130
1,9:30,1,10,NWE 48,0,0,Tom Brady pass complete deep left to Rob Gronkowski for 45 yards (tackle by Whitney Mercilus),2.130,5.600
1,8:50,1,7,HOU 7,0,0,LeGarrette Blount middle for 1 yard (tackle by Vince Wilfork and Jadeveon Clowney),5.600,4.950
1,8:15,2,6,HOU 6,0,0,"Tom Brady pass complete short middle to Brandon LaFell for 6 yards. Penalty on NWE: Illegal Formation, 5 yards (no play)",4.950,4.020
1,8:10,2,11,HOU 11,0,0,Tom Brady pass complete short middle to Danny Amendola for 9 yards (tackle by Quintin Demps and Brian Cushing),4.020,4.950
1,7:28,3,2,HOU 2,6,0,"Tom Brady pass complete short left to Keshawn Martin for 2 yards, touchdown. Penalty on J.J. Watt: Roughing the Passer, 15 yards, Penalty on Eddie Pleasant: Illegal Use of Hands (Declined)",4.950,7.000
1,7:28,,,HOU 2,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,7:28,,,HOU 2,7,0,"Stephen Gostkowski kicks off 50 yards, touchback",0.000,-0.280
1,7:22,1,10,HOU 20,7,0,Brian Hoyer pass complete short left to Chris Polk for 9 yards (tackle by Jamie Collins),0.280,0.950
1,6:51,2,1,HOU 29,7,0,Chris Polk middle for 5 yards (tackle by Patrick Chung and Alan Branch),0.950,1.200
1,6:15,1,10,HOU 34,7,0,Chris Polk right guard for 6 yards (tackle by Logan Ryan),1.200,1.470
1,5:54,2,4,HOU 40,7,0,Chris Polk middle for 1 yard (tackle by Akiem Hicks),1.470,0.890
1,5:13,3,3,HOU 41,7,0,"Brian Hoyer pass complete short right to Akeem Hunt for 6 yards (tackle by Leonard Johnson). Penalty on Duane Brown: Unnecessary Roughness, 15 yards (no play)",0.890,-1.090
1,4:51,3,18,HOU 26,7,0,Brian Hoyer pass complete deep right to Nate Washington for 49 yards (tackle by Malcolm Butler),-1.090,3.910
1,4:13,1,10,NWE 25,7,0,Brian Hoyer pass complete short left to Cecil Shorts for -1 yards (tackle by Patrick Chung and Logan Ryan),3.910,3.230
1,3:31,2,11,NWE 26,7,0,Brian Hoyer pass complete short middle to Jaelen Strong for 6 yards (tackle by Patrick Chung and Chandler Jones),3.230,3.340
1,2:47,3,5,NWE 20,7,0,Brian Hoyer pass incomplete short left intended for Cecil Shorts (defended by Leonard Johnson),3.340,2.170
1,2:42,4,5,NWE 20,7,3,Nick Novak 37 yard field goal good,2.170,3.000
1,2:42,,,HOU 35,7,3,"Nick Novak kicks off 68 yards, returned by Keshawn Martin for 21 yards (tackle by Brian Peters)",0.000,-0.040
1,2:32,1,10,NWE 18,7,3,LeGarrette Blount middle for 5 yards (tackle by J.J. Watt),0.040,0.280
