Quarter,Time,Tm,Detail,NWE,HOU
1.0,7:22,Patriots,Keshawn Martin 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,2:38,Texans,Nick Novak 37 yard field goal,7,3
2.0,12:13,Patriots,Stephen Gostkowski 43 yard field goal,10,3
,9:26,Texans,Nick Novak 45 yard field goal,10,6
,0:14,Patriots,Rob Gronkowski 1 yard pass from Tom Brady (Stephen Gostkowski kick),17,6
3.0,11:48,Patriots,Stephen Gostkowski 49 yard field goal,20,6
4.0,12:04,Patriots,James White 2 yard rush (Stephen Gostkowski kick),27,6
