Unnamed: 0,WAS,JAX
First Downs,15,15
Rush-Yds-TDs,24-79-1,23-78-1
Cmp-Att-Yd-TD-INT,19-39-182-1-1,22-38-299-1-2
Sacked-Yards,1-10,4-41
Net Pass Yards,172,258
Total Yards,251,336
Fumbles-Lost,0-0,2-0
Turnovers,1,2
Penalties-Yards,5-40,7-66
Third Down Conv.,4-15,7-17
Fourth Down Conv.,1-1,0-0
Time of Possession,29:53,32:54
