Quarter,Time,Tm,Detail,WAS,JAX
1,13:41,Redskins,Graham Gano 48 yard field goal,3,0
,9:07,Redskins,Fred Davis 1 yard pass from Rex Grossman (Graham Gano kick),10,0
2,8:18,Jaguars,Mike Thomas 19 yard pass from David Garrard (Josh Scobee kick),10,7
3,4:57,Jaguars,Josh Scobee 34 yard field goal,10,10
4,12:07,Redskins,Ryan Torain 1 yard rush (Graham Gano kick),17,10
,2:44,Jaguars,David Garrard 20 yard rush (Josh Scobee kick),17,17
OT,12:13,Redskins,Graham Gano 31 yard field goal,20,17
