Unnamed: 0,CLE,HOU
First Downs,19,11
Rush-Yds-TDs,28-127-0,26-94-1
Cmp-Att-Yd-TD-INT,25-35-187-0-1,9-15-86-0-1
Sacked-Yards,1-8,1-3
Net Pass Yards,179,83
Total Yards,306,177
Fumbles-Lost,3-2,1-0
Turnovers,3,1
Penalties-Yards,5-57,4-31
Third Down Conv.,5-12,2-8
Fourth Down Conv.,0-1,0-0
Time of Possession,38:06,21:54
