Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 68 yards, returned by Josh Cribbs for 25 yards (tackle by Kevin Walter)",0.000,0.740
1,14:54,1,10,CLE 27,0,0,Charlie Frye pass complete short left to Kellen Winslow for 6 yards (tackle by Morlon Greenwood),0.740,1.010
1,14:15,2,4,CLE 33,0,0,Reuben Droughns middle for 7 yards (tackle by Shantee Orr and Anthony Maddox),1.010,1.600
1,13:38,1,10,CLE 40,0,0,Reuben Droughns left guard for 2 yards (tackle by Glenn Earl),1.600,1.320
1,12:59,2,8,CLE 42,0,0,Charlie Frye pass complete short right to Terrelle Smith for 6 yards (tackle by Morlon Greenwood and DeMeco Ryans),1.320,1.420
1,12:16,3,2,CLE 48,0,0,Reuben Droughns right guard for 8 yards (tackle by Shantee Orr),1.420,2.650
1,11:34,1,10,HOU 44,0,0,Charlie Frye right end for 8 yards (tackle by Morlon Greenwood and Thomas Johnson),2.650,3.190
1,11:06,2,2,HOU 36,0,0,Braylon Edwards left end for 7 yards (tackle by Shantee Orr and Dunta Robinson),3.190,3.640
1,10:20,1,10,HOU 29,0,0,Charlie Frye pass complete short right to Kellen Winslow for 14 yards (tackle by C.C. Brown),3.640,4.580
1,9:43,1,10,HOU 15,0,0,"Reuben Droughns middle for no gain (tackle by Anthony Maddox). Penalty on Kevin Shaffer: Offensive Holding, 10 yards (no play)",4.580,3.910
1,9:15,1,20,HOU 25,0,0,"Charlie Frye pass incomplete deep right intended for Braylon Edwards. Penalty on Morlon Greenwood: Defensive Holding, 5 yards (no play)",3.910,4.240
1,9:06,1,10,HOU 20,0,0,Reuben Droughns right guard for 2 yards (tackle by Thomas Johnson and Cedric Killings),4.240,3.960
1,8:24,2,8,HOU 18,0,0,Charlie Frye pass incomplete deep left intended for Braylon Edwards is intercepted by C.C. Brown at HOU-0,3.960,-0.280
1,8:14,1,10,HOU 20,0,0,David Carr pass incomplete short left intended for Andre Johnson (defended by Leon Williams),0.280,-0.270
1,8:09,2,10,HOU 20,0,0,David Carr sacked by Kamerion Wimbley for -3 yards,-0.270,-1.510
1,7:34,3,13,HOU 17,0,0,Wali Lundy right tackle for 3 yards (tackle by Nick Eason),-1.510,-2.030
1,6:51,4,10,HOU 20,0,0,"Chad Stanley punts 36 yards, returned by Sean Jones for 8 yards (tackle by Charlie Anderson)",-2.030,-2.390
1,6:38,1,10,HOU 48,0,0,Charlie Frye pass complete short left to Reuben Droughns for 3 yards (tackle by Morlon Greenwood and Anthony Maddox),2.390,2.250
1,6:00,2,7,HOU 45,0,0,Reuben Droughns left tackle for -1 yards (tackle by Mario Williams),2.250,1.420
1,5:15,3,8,HOU 46,0,0,Charlie Frye pass complete short middle to Travis Wilson for 16 yards (tackle by Jason Simmons),1.420,3.580
1,4:37,1,10,HOU 30,0,0,Reuben Droughns left guard for 1 yard (tackle by DeMeco Ryans),3.580,3.170
1,3:57,2,9,HOU 29,0,0,Terrelle Smith middle for 1 yard (tackle by Thomas Johnson),3.170,2.610
1,3:14,3,8,HOU 28,0,0,Jerome Harrison left guard for -2 yards (tackle by Anthony Maddox and N.D. Kalu),2.610,1.410
1,2:36,4,10,HOU 30,0,0,Phil Dawson 48 yard field goal no good,1.410,-1.470
1,2:30,1,10,HOU 38,0,0,David Carr pass complete short right to Andre Johnson for 4 yards (tackle by Ralph Brown),1.470,1.460
1,2:10,2,6,HOU 42,0,0,Chris Taylor right guard for 6 yards (tackle by Willie McGinest and Sean Jones),1.460,2.130
1,1:28,1,10,HOU 48,0,0,Chris Taylor right tackle for 17 yards (tackle by Willie McGinest),2.130,3.250
1,0:48,1,10,CLE 35,0,0,David Carr pass complete short left to Vonta Leach for 19 yards (tackle by Sean Jones),3.250,4.510
1,0:07,1,10,CLE 16,0,0,David Carr pass incomplete deep left intended for Andre Johnson is intercepted by Daven Holly at CLE-0 and returned for 41 yards,4.510,-1.660
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 41,0,0,Charlie Frye pass incomplete deep right intended for Braylon Edwards,1.660,1.120
2,14:52,2,10,CLE 41,0,0,Charlie Frye pass complete short right to Kellen Winslow for 2 yards (tackle by Charlie Anderson),1.120,0.700
2,14:06,3,8,CLE 43,0,0,Charlie Frye pass complete short left to Steve Heiden for 2 yards (tackle by Dunta Robinson and Von Hutchins),0.700,-0.390
2,13:31,4,6,CLE 45,0,0,"Dave Zastudil punts 41 yards, out of bounds",-0.390,0.280
2,13:22,1,10,HOU 14,0,0,David Carr pass incomplete short middle intended for Andre Johnson (defended by Daven Holly),-0.280,-0.750
2,13:15,2,10,HOU 14,0,0,Chris Taylor left tackle for 3 yards (tackle by Simon Fraser),-0.750,-1.040
2,12:33,,,,0,0,Timeout #1 by Houston Texans,0.000,-1.040
2,12:33,3,7,HOU 17,0,0,"David Carr pass complete short left to Andre Johnson for 11 yards (tackle by Daven Holly). Penalty on Andre Johnson: Offensive Pass Interfere, 8 yards (no play)",-1.040,-2.010
2,12:09,3,15,HOU 9,0,0,David Carr pass complete short left to Chris Taylor for 12 yards (tackle by Ralph Brown),-2.010,-1.960
2,11:32,4,3,HOU 21,0,0,"Chad Stanley punts 45 yards, fair catch by Josh Cribbs",-1.960,-1.200
2,11:22,1,10,CLE 34,0,0,Reuben Droughns right tackle for 5 yards (tackle by Anthony Maddox and DeMeco Ryans),1.200,1.330
2,10:43,2,5,CLE 39,0,0,Reuben Droughns middle for 12 yards (tackle by Dunta Robinson),1.330,2.320
2,10:04,1,10,HOU 49,0,0,Reuben Droughns right tackle for 4 yards (tackle by Morlon Greenwood and Anthony Maddox),2.320,2.320
2,9:26,2,6,HOU 45,0,0,Charlie Frye pass complete short right to Reuben Droughns for -1 yards (tackle by Mario Williams and Antwan Peek),2.320,1.490
2,8:37,3,7,HOU 46,0,0,"Charlie Frye pass incomplete short right intended for Braylon Edwards. Penalty on Demarcus Faggins: Defensive Pass Interfere, 11 yards (no play)",1.490,3.250
2,8:32,1,10,HOU 35,0,0,Charlie Frye for 4 yards (tackle by Morlon Greenwood),3.250,3.240
2,7:57,2,6,HOU 31,0,0,"Reuben Droughns middle for 8 yards (tackle by Morlon Greenwood). Reuben Droughns fumbles (forced by Morlon Greenwood), recovered by C.C. Brown at HOU-21 (tackle by Hank Fraley)",3.240,-0.340
2,7:49,1,10,HOU 21,0,0,Chris Taylor right guard for 3 yards (tackle by Ted Washington),0.340,0.210
2,7:15,2,7,HOU 24,0,0,Chris Taylor left tackle for 4 yards (tackle by Ted Washington),0.210,0.040
2,6:34,3,3,HOU 28,0,0,Chris Taylor left guard for 2 yards (tackle by Ted Washington and Leon Williams),0.040,-1.370
,,,,,,,"HOU challenged the ruling, and the play was upheld.",,
2,6:21,4,1,HOU 30,0,0,"Chad Stanley punts 47 yards, fair catch by Josh Cribbs",-1.370,-0.480
2,6:12,1,10,CLE 23,0,0,Reuben Droughns middle for 5 yards (tackle by Anthony Maddox and Morlon Greenwood),0.480,0.610
2,5:28,2,5,CLE 28,0,0,Charlie Frye pass complete short right to Kellen Winslow for 4 yards (tackle by DeMeco Ryans),0.610,0.430
2,4:49,3,1,CLE 32,0,0,Charlie Frye pass complete short middle to Kellen Winslow for 6 yards (tackle by DeMeco Ryans),0.430,1.470
2,4:09,1,10,CLE 38,0,0,Reuben Droughns right guard for 2 yards (tackle by Thomas Johnson and Morlon Greenwood),1.470,1.190
2,3:28,2,8,CLE 40,0,0,Reuben Droughns right guard for 10 yards (tackle by Earl Cochran),1.190,2.260
2,2:42,1,10,HOU 50,0,0,Charlie Frye right end for 1 yard (tackle by Antwan Peek),2.260,1.850
2,2:00,2,9,HOU 49,0,0,Charlie Frye pass complete short left to Kellen Winslow for 2 yards (tackle by DeMeco Ryans),1.850,1.420
2,1:15,3,7,HOU 47,0,0,Charlie Frye pass complete short left to Kellen Winslow for 17 yards (tackle by Jason Simmons and Dexter McCleon),1.420,3.580
2,1:06,,,,0,0,Timeout #1 by Cleveland Browns,0.000,3.580
2,1:06,1,10,HOU 30,0,0,Charlie Frye pass incomplete short right intended for Kellen Winslow (defended by Mario Williams),3.580,3.030
2,0:53,2,10,HOU 30,0,0,Josh Cribbs right end for 2 yards (tackle by N.D. Kalu and Anthony Maddox),3.030,2.610
2,0:51,,,,0,0,Timeout #2 by Cleveland Browns,0.000,2.610
2,0:51,3,8,HOU 28,0,0,Charlie Frye pass complete short right to Steve Heiden for 3 yards (tackle by Jason Simmons),2.610,1.850
2,0:05,,,,0,0,Timeout #3 by Cleveland Browns,0.000,1.850
2,0:05,4,5,HOU 25,3,0,Phil Dawson 43 yard field goal good,1.850,3.000
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,3,0,"Phil Dawson kicks off 67 yards, returned by Dexter Wynn for 27 yards (tackle by Darnell Dinkins)",0.000,0.940
3,14:53,1,10,HOU 30,3,0,Chris Taylor left guard for 4 yards (tackle by Simon Fraser),0.940,0.930
3,14:30,2,6,HOU 34,3,0,David Carr pass complete short left to Andre Johnson for 8 yards (tackle by Chaun Thompson),0.930,1.730
3,14:00,1,10,HOU 42,3,0,Chris Taylor right guard for 4 yards (tackle by Simon Fraser),1.730,1.730
3,13:24,2,6,HOU 46,3,0,David Carr pass complete short left to Vonta Leach for 14 yards (tackle by Leon Williams),1.730,2.920
3,12:53,1,10,CLE 40,3,0,Chris Taylor right end for 13 yards (tackle by Chaun Thompson),2.920,3.780
3,12:11,1,10,CLE 27,3,0,David Carr pass complete short right to Wali Lundy for 8 yards (tackle by Sean Jones),3.780,4.350
3,11:44,2,2,CLE 19,3,0,Chris Taylor middle for 6 yards (tackle by Leon Williams),4.350,4.710
3,11:05,1,10,CLE 13,3,0,Chris Taylor right guard for 8 yards (tackle by Justin Hamilton),4.710,5.540
3,10:26,2,2,CLE 5,3,6,"Chris Taylor left end for 5 yards, touchdown",5.540,7.000
3,10:26,,,CLE 2,3,7,Kris Brown kicks extra point good,0.000,0.000
3,10:19,,,HOU 30,3,7,"Kris Brown kicks off 69 yards, returned by Josh Cribbs for 22 yards (tackle by Shantee Orr)",0.000,0.480
3,10:12,1,10,CLE 23,3,7,"Reuben Droughns middle for 2 yards (tackle by Antwan Peek). Reuben Droughns fumbles (forced by Antwan Peek), recovered by Rob Smith at CLE-25",0.480,0.200
3,9:25,2,8,CLE 25,3,7,Reuben Droughns middle for 2 yards (tackle by Anthony Maddox),0.200,-0.230
3,8:47,3,6,CLE 27,3,7,Charlie Frye pass complete short middle to Kellen Winslow for 6 yards (tackle by Dunta Robinson),-0.230,1.140
3,8:11,1,10,CLE 33,3,7,Reuben Droughns middle for 3 yards (tackle by C.C. Brown and Glenn Earl),1.140,1.000
3,7:27,2,7,CLE 36,3,7,Charlie Frye pass complete deep middle to Braylon Edwards for 19 yards (tackle by Glenn Earl),1.000,2.590
3,6:43,1,10,HOU 45,3,13,"Charlie Frye sacked by Anthony Maddox for -8 yards. Charlie Frye fumbles (forced by Anthony Maddox), recovered by Anthony Maddox at CLE-47 and returned for 47 yards, touchdown",2.590,-7.000
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
3,,,,CLE 2,3,14,Kris Brown kicks extra point good,0.000,0.000
3,6:28,,,HOU 30,3,14,"Kris Brown kicks off 58 yards, returned by Josh Cribbs for 22 yards (tackle by Charlie Anderson)",0.000,1.200
3,6:19,1,10,CLE 34,3,14,"Charlie Frye pass complete short right to Braylon Edwards for 11 yards (tackle by Jason Babin). Penalty on Lawrence Vickers: Unnecessary Roughness, 15 yards",1.200,0.940
3,6:19,1,10,CLE 30,3,14,Reuben Droughns middle for 12 yards (tackle by Dunta Robinson and Glenn Earl),0.940,1.730
3,5:03,1,10,CLE 42,3,14,Charlie Frye pass incomplete short right intended for Kellen Winslow,1.730,1.190
3,4:57,2,10,CLE 42,3,14,Reuben Droughns left guard for -3 yards (tackle by Earl Cochran),1.190,0.100
3,4:17,3,13,CLE 39,3,14,Charlie Frye pass complete short left to Reuben Droughns for no gain,0.100,-0.780
3,3:33,4,13,CLE 39,3,14,"Dave Zastudil punts 52 yards, returned by Dexter Wynn for 5 yards (tackle by Mason Unck). Penalty on Dexter McCleon: Offensive Holding, 7 yards, Penalty on Kevin Walter: Illegal Block Above the (Declined)",-0.780,0.380
3,3:19,1,10,HOU 7,3,14,"David Carr for no gain. David Carr fumbles, recovered by Chris Taylor at HOU-5",-0.380,-0.930
3,2:42,2,12,HOU 5,3,14,Chris Taylor right tackle for 2 yards (tackle by Sean Jones),-0.930,-1.420
3,2:04,3,10,HOU 7,3,14,David Carr pass incomplete short left intended for Andre Johnson,-1.420,-2.490
3,1:58,4,10,HOU 7,3,14,"Chad Stanley punts 45 yards, returned by Josh Cribbs for 5 yards (tackle by Von Hutchins)",-2.490,-2.460
3,1:47,1,10,HOU 47,3,14,Charlie Frye pass complete short right to Terrelle Smith for 1 yard (tackle by Charlie Anderson),2.460,2.050
3,0:59,2,9,HOU 46,3,14,Charlie Frye for 10 yards (tackle by Cedric Killings),2.050,3.180
3,0:27,1,10,HOU 36,3,14,Reuben Droughns right guard for 2 yards (tackle by DeMeco Ryans and Cedric Killings),3.180,2.910
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,HOU 34,3,14,"Charlie Frye pass complete short left to Reuben Droughns for 2 yards (tackle by Dunta Robinson and Earl Cochran). Penalty on Hank Fraley: Offensive Holding, 10 yards (no play)",2.910,1.560
4,14:26,2,18,HOU 44,3,14,Charlie Frye pass complete short middle to Kellen Winslow for 6 yards (tackle by DeMeco Ryans),1.560,1.690
4,13:46,3,12,HOU 38,3,14,Charlie Frye pass incomplete short right intended for Braylon Edwards,1.690,0.720
4,13:41,4,12,HOU 38,3,14,"Dave Zastudil punts 29 yards, fair catch by Dexter Wynn",0.720,0.380
4,13:31,1,10,HOU 9,3,14,Chris Taylor left guard for 2 yards (tackle by Simon Fraser),-0.380,-0.630
4,12:55,2,8,HOU 11,3,14,David Carr pass incomplete short left intended for Andre Johnson,-0.630,-1.190
4,12:49,3,8,HOU 11,3,14,David Carr pass complete short middle to Eric Moulds for 5 yards (tackle by Ralph Brown),-1.190,-2.390
4,12:11,4,3,HOU 16,3,14,Chad Stanley punts 62 yards,-2.390,-0.410
4,11:58,1,10,CLE 22,3,14,Charlie Frye pass complete short left to Braylon Edwards for 13 yards (tackle by Morlon Greenwood),0.410,1.270
4,11:20,1,10,CLE 35,3,14,Charlie Frye pass complete short right to Lawrence Vickers for 6 yards (tackle by Demarcus Faggins),1.270,1.530
4,10:44,2,4,CLE 41,3,14,Charlie Frye right tackle for 13 yards (tackle by Demarcus Faggins),1.530,2.520
4,10:13,1,10,HOU 46,3,14,Charlie Frye pass incomplete short right intended for Steve Heiden,2.520,1.980
4,10:06,2,10,HOU 46,3,14,Charlie Frye pass complete short middle to Kellen Winslow for 22 yards (tackle by Shantee Orr and DeMeco Ryans),1.980,3.970
4,9:21,1,10,HOU 24,3,14,"Charlie Frye pass complete deep right to Steve Heiden for 22 yards (tackle by Glenn Earl and Demarcus Faggins). Penalty on Kevin Shaffer: Offensive Holding, 10 yards (no play)",3.970,3.310
4,8:47,1,20,HOU 34,3,14,Charlie Frye pass complete short left to Braylon Edwards for 3 yards (tackle by Dunta Robinson),3.310,2.490
4,8:04,2,17,HOU 31,3,14,Charlie Frye pass complete short right to Steve Heiden for 12 yards (tackle by Glenn Earl),2.490,3.410
4,7:18,3,5,HOU 19,3,14,Charlie Frye pass incomplete short left intended for Braylon Edwards,3.410,2.240
4,7:11,4,5,HOU 19,6,14,Phil Dawson 36 yard field goal good,2.240,3.000
4,7:08,,,CLE 30,6,14,"Phil Dawson kicks off 67 yards, returned by Dexter Wynn for 23 yards (tackle by Therrian Fontenot)",0.000,0.670
4,7:01,1,10,HOU 26,6,14,David Carr pass incomplete short right intended for Mark Bruener (defended by Simon Fraser),0.670,0.130
4,6:56,2,10,HOU 26,6,14,David Carr pass complete short left to Mark Bruener for 10 yards (tackle by Sean Jones),0.130,1.330
4,6:12,1,10,HOU 36,6,14,Chris Taylor middle for 2 yards (tackle by Sean Jones),1.330,1.060
4,5:36,2,8,HOU 38,6,14,David Carr pass complete short right to Eric Moulds for 6 yards (tackle by Jereme Perry and Sean Jones),1.060,1.160
4,4:52,3,2,HOU 44,6,14,David Carr right end for 3 yards (tackle by Nick Eason and Leon Williams),1.160,2.060
4,4:11,1,10,HOU 47,6,14,Chris Taylor left guard for 5 yards (tackle by Nick Eason and Kamerion Wimbley),2.060,2.190
4,3:30,2,5,CLE 48,6,14,Chris Taylor right end for 2 yards (tackle by Babatunde Oshinowo),2.190,1.750
4,2:42,,,,6,14,Timeout #1 by Houston Texans,0.000,1.750
4,2:42,3,3,CLE 46,6,14,Chris Taylor left end for 8 yards (tackle by Chaun Thompson). Penalty on Nick Eason: Defensive Holding (Declined),1.750,3.050
4,2:35,1,10,CLE 38,6,14,Chris Taylor left guard for 1 yard (tackle by Simon Fraser),3.050,2.640
4,2:30,,,,6,14,Timeout #2 by Cleveland Browns,0.000,2.640
4,2:30,2,9,CLE 37,6,14,Chris Taylor middle for 2 yards (tackle by Babatunde Oshinowo and Nick Eason),2.640,2.210
4,2:24,,,,6,14,Timeout #3 by Cleveland Browns,0.000,2.210
4,2:24,3,7,CLE 35,6,14,David Carr left end for -7 yards (tackle by Kamerion Wimbley),2.210,0.460
4,1:57,4,14,CLE 42,6,14,Chad Stanley punts 36 yards,0.460,0.380
4,1:50,1,10,CLE 6,6,14,Charlie Frye pass complete short right to Kellen Winslow for 8 yards (tackle by Jason Simmons and Antwan Peek),-0.380,-0.170
4,1:26,2,2,CLE 14,6,14,"Charlie Frye pass incomplete. Penalty on Charlie Frye: Intentional Grounding, 12 yards",-0.170,-1.890
4,1:19,3,14,CLE 2,6,14,Charlie Frye pass incomplete short left intended for Braylon Edwards,-1.890,-2.490
4,1:13,4,14,CLE 2,6,14,Charlie Frye pass incomplete deep left intended for Braylon Edwards (defended by C.C. Brown),-2.490,-6.740
4,1:07,1,2,CLE 2,6,14,David Carr kneels for -1 yards,6.740,5.530
4,0:34,2,3,CLE 3,6,14,David Carr kneels for -1 yards,5.530,4.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
