Quarter,Time,Tm,Detail,OAK,TEN
1.0,5:53,Titans,Craig Stevens 20 yard pass from Marcus Mariota (Ryan Succop kick failed),0,6
,1:34,Raiders,Michael Crabtree 7 yard pass from Derek Carr (Sebastian Janikowski kick),7,6
2.0,1:01,Raiders,Sebastian Janikowski 24 yard field goal,10,6
3.0,10:45,Raiders,Seth Roberts 10 yard pass from Derek Carr (Sebastian Janikowski kick),17,6
,6:22,Titans,Harry Douglas 13 yard pass from Marcus Mariota (Dorial Green-Beckham pass from Marcus Mariota),17,14
4.0,4:41,Titans,Jalston Fowler 1 yard pass from Marcus Mariota (Ryan Succop kick),17,21
,1:21,Raiders,Seth Roberts 12 yard pass from Derek Carr (Sebastian Janikowski kick),24,21
