Unnamed: 0,OAK,TEN
First Downs,22,19
Rush-Yds-TDs,30-84-0,18-44-0
Cmp-Att-Yd-TD-INT,24-38-330-3-0,17-37-218-3-2
Sacked-Yards,1-7,2-13
Net Pass Yards,323,205
Total Yards,407,249
Fumbles-Lost,3-2,0-0
Turnovers,2,2
Penalties-Yards,11-94,4-25
Third Down Conv.,8-15,3-12
Fourth Down Conv.,0-1,0-1
Time of Possession,34:55,25:05
