Unnamed: 0,CLE,CAR
First Downs,17,15
Rush-Yds-TDs,23-91-0,28-119-0
Cmp-Att-Yd-TD-INT,26-43-173-0-2,20-29-170-1-0
Sacked-Yards,2-16,1-1
Net Pass Yards,157,169
Total Yards,248,288
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,7-70,4-34
Third Down Conv.,2-14,0-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:15,28:45
