Unnamed: 0,IND,HOU
First Downs,18,23
Rush-Yds-TDs,22-79-1,32-156-2
Cmp-Att-Yd-TD-INT,25-34-247-2-1,21-33-246-1-1
Sacked-Yards,2-12,2-11
Net Pass Yards,235,235
Total Yards,314,391
Fumbles-Lost,0-0,3-2
Turnovers,1,3
Penalties-Yards,6-31,1-5
Third Down Conv.,3-12,6-13
Fourth Down Conv.,3-3,0-0
Time of Possession,28:39,31:21
