Unnamed: 0,BAL,IND
First Downs,19,20
Rush-Yds-TDs,38-110-2,21-112-1
Cmp-Att-Yd-TD-INT,19-23-170-0-0,25-44-227-0-1
Sacked-Yards,2-14,0-0
Net Pass Yards,156,227
Total Yards,266,339
Fumbles-Lost,3-1,2-1
Turnovers,1,2
Penalties-Yards,5-55,4-30
Third Down Conv.,5-13,2-12
Fourth Down Conv.,1-1,2-4
Time of Possession,33:26,26:34
