Quarter,Time,Tm,Detail,BAL,IND
1.0,5:33,Colts,Jonathan Taylor 1 yard rush (Rodrigo Blankenship kick),0,7
,1:11,Ravens,Chuck Clark 65 yard fumble return (Justin Tucker kick),7,7
2.0,0:45,Colts,Rodrigo Blankenship 43 yard field goal,7,10
3.0,5:43,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),14,10
4.0,11:08,Ravens,Lamar Jackson 9 yard rush (Justin Tucker kick),21,10
,2:08,Ravens,Justin Tucker 48 yard field goal,24,10
