Quarter,Time,Tm,Detail,PIT,STL
1.0,7:18,Steelers,Josh Scobee 21 yard field goal,3,0
2.0,13:00,Steelers,Le'Veon Bell 1 yard rush (pass failed),9,0
,2:05,Rams,Greg Zuerlein 49 yard field goal,9,3
4.0,5:38,Rams,Greg Zuerlein 27 yard field goal,9,6
,1:56,Steelers,Josh Scobee 41 yard field goal,12,6
