Unnamed: 0,PIT,STL
First Downs,17,12
Rush-Yds-TDs,22-62-1,18-71-0
Cmp-Att-Yd-TD-INT,25-30-230-0-1,19-29-197-0-1
Sacked-Yards,5-33,2-10
Net Pass Yards,197,187
Total Yards,259,258
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,4-63,7-97
Third Down Conv.,6-12,2-10
Fourth Down Conv.,0-0,0-2
Time of Possession,32:19,27:41
