Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
1,7:21,,,PIT 35,3,0,"Josh Scobee kicks off 65 yards, touchback",0.000,-0.280
1,7:18,1,10,STL 20,3,0,Tre Mason left guard for 7 yards (tackle by Stephon Tuitt),0.280,0.680
1,6:46,2,3,STL 27,3,0,Nick Foles sacked by Stephon Tuitt for -2 yards,0.680,-0.300
1,5:58,3,5,STL 25,3,0,Nick Foles pass complete short left to Tre Mason for 15 yards (tackle by Lawrence Timmons),-0.300,1.600
1,5:21,1,10,STL 40,3,0,Tre Mason right guard for 1 yard (tackle by Stephon Tuitt),1.600,1.190
1,4:45,2,9,STL 41,3,0,Nick Foles pass complete short right to Lance Kendricks for 7 yards (tackle by William Gay),1.190,1.420
1,4:14,3,2,STL 48,3,0,Nick Foles pass incomplete short left intended for Lance Kendricks,1.420,-0.190
1,4:11,4,2,STL 48,3,0,"Johnny Hekker punts 44 yards, fair catch by Antonio Brown",-0.190,0.380
1,4:03,1,10,PIT 8,3,0,Le'Veon Bell left guard for 19 yards (tackle by Rodney McLeod and Lamarcus Joyner),-0.380,0.740
1,3:28,1,10,PIT 27,3,0,Ben Roethlisberger pass complete short right to Darrius Heyward-Bey for 6 yards (tackle by T.J. McDonald),0.740,1.010
1,2:55,2,4,PIT 33,3,0,Ben Roethlisberger pass complete deep right to Antonio Brown for 19 yards (tackle by Trumaine Johnson and Rodney McLeod),1.010,2.390
1,2:17,1,10,STL 48,3,0,Ben Roethlisberger pass complete short right to Antonio Brown for 16 yards (tackle by Rodney McLeod),2.390,3.450
1,1:44,1,10,STL 32,3,0,Le'Veon Bell left end for 1 yard (tackle by Janoris Jenkins),3.450,3.040
1,1:03,2,9,STL 31,3,0,Le'Veon Bell left tackle for 1 yard (tackle by Ethan Westbrooks),3.040,2.480
1,0:17,3,8,STL 30,3,0,Ben Roethlisberger pass complete short left to Antonio Brown for 15 yards (tackle by Janoris Jenkins),2.480,4.580
Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 15,3,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 9 yards (tackle by Trumaine Johnson),4.580,5.600
2,14:21,2,1,STL 6,3,0,Ben Roethlisberger pass incomplete short left intended for Heath Miller,5.600,4.900
2,14:16,3,1,STL 6,3,0,Le'Veon Bell left tackle for 2 yards (tackle by T.J. McDonald and Alec Ogletree),4.900,6.280
2,13:40,1,4,STL 4,3,0,Ben Roethlisberger pass complete short left to Antonio Brown for -4 yards (tackle by Rodney McLeod),6.280,4.570
2,13:09,2,8,STL 8,3,0,"Ben Roethlisberger pass incomplete short middle intended for Heath Miller. Penalty on Lamarcus Joyner: Defensive Pass Interference, 7 yards (no play)",4.570,6.970
2,13:04,1,1,STL 1,9,0,"Le'Veon Bell right guard for 1 yard, touchdown",6.970,7.000
2,13:04,1,,STL 1,9,0,"Two Point Attempt: Ben Roethlisberger pass incomplete intended for Darrius Heyward-Bey, conversion fails",6.970,-1.000
2,13:04,,,PIT 35,9,0,"Josh Scobee kicks off 65 yards, touchback",0.000,-0.280
2,13:00,1,10,STL 20,9,0,Todd Gurley left tackle for 2 yards (tackle by Lawrence Timmons and Sean Spence),0.280,0.000
2,12:22,2,8,STL 22,9,0,Nick Foles pass complete short right to Tavon Austin for 12 yards (tackle by Mike Mitchell),0.000,1.200
2,11:41,1,10,STL 34,9,0,Todd Gurley left tackle for 1 yard (tackle by William Gay and Lawrence Timmons),1.200,0.790
2,11:06,2,9,STL 35,9,0,Nick Foles pass complete short left to Tavon Austin for 10 yards (tackle by Will Allen),0.790,1.930
2,10:25,1,10,STL 45,9,0,Todd Gurley right tackle for -1 yards (tackle by Stephon Tuitt),1.930,1.250
2,9:42,2,11,STL 44,9,0,Nick Foles pass complete short right to Todd Gurley for 5 yards (tackle by Will Allen),1.250,1.220
2,8:58,3,6,STL 49,9,0,Nick Foles pass complete short right to Tavon Austin for 3 yards (tackle by Will Allen),1.220,0.070
2,8:20,4,3,PIT 48,9,0,Johnny Hekker pass incomplete short left intended for Stedman Bailey,0.070,-2.130
2,8:15,1,10,PIT 48,9,0,"Ben Roethlisberger pass complete short middle to Heath Miller for 14 yards. Penalty on Kelvin Beachum: Illegal Use of Hands, 10 yards (no play)",2.130,1.470
2,7:46,1,20,PIT 38,9,0,Le'Veon Bell middle for 1 yard (tackle by James Laurinaitis),1.470,0.370
2,7:06,2,19,PIT 39,9,0,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton is intercepted by Janoris Jenkins at STL-19,0.370,-0.150
2,6:52,1,10,STL 19,9,0,Tre Mason left tackle for -1 yards (tackle by Lawrence Timmons and Vince Williams),0.150,-0.560
2,6:14,2,11,STL 18,9,0,Nick Foles pass complete short right to Kenny Britt for 14 yards (tackle by Mike Mitchell),-0.560,1.070
2,5:37,1,10,STL 32,9,0,Tre Mason left guard for 6 yards (tackle by Arthur Moats and James Harrison),1.070,1.340
2,4:57,2,4,STL 38,9,0,Nick Foles pass complete short left to Tavon Austin for 6 yards (tackle by Antwon Blake),1.340,1.860
2,4:19,1,10,STL 44,9,0,Nick Foles pass complete short middle to Kenny Britt for 19 yards (tackle by Mike Mitchell),1.860,3.120
2,3:36,1,10,PIT 37,9,0,Tre Mason right end for 3 yards (tackle by Jacoby Jones),3.120,2.980
2,3:00,2,7,PIT 34,9,0,Tre Mason middle for 3 yards (tackle by Stephon Tuitt and Vince Williams),2.980,2.980
2,2:15,2,7,PIT 34,9,0,Timeout #1 by Los Angeles Rams,2.980,2.680
2,2:15,3,4,PIT 31,9,0,Nick Foles pass incomplete short right intended for Kenny Britt,2.680,1.370
2,2:10,4,4,PIT 31,9,3,Greg Zuerlein 49 yard field goal good,1.370,3.000
2,2:10,,,STL 35,9,3,"Greg Zuerlein kicks off 69 yards, returned by Jordan Todman for 22 yards (tackle by Bradley Marquez)",0.000,-0.040
2,2:00,1,10,PIT 18,9,3,"Ben Roethlisberger pass complete short left to Le'Veon Bell for 9 yards. Penalty on Kelvin Beachum: Offensive Holding, 9 yards (no play)",0.040,-0.720
2,1:53,1,19,PIT 9,9,3,Le'Veon Bell left tackle for 5 yards (tackle by Mark Barron and Alec Ogletree),-0.720,-1.040
2,1:28,2,14,PIT 14,9,3,Ben Roethlisberger pass complete short left to Antonio Brown for 12 yards (tackle by Janoris Jenkins),-1.040,-0.140
2,0:59,3,2,PIT 26,9,3,Ben Roethlisberger pass complete short middle to Antonio Brown for 7 yards (tackle by Janoris Jenkins),-0.140,-0.140
2,0:54,3,2,PIT 26,9,3,Timeout #1 by Pittsburgh Steelers,-0.140,1.140
2,0:54,1,10,PIT 33,9,3,Ben Roethlisberger sacked by Alec Ogletree for -9 yards,1.140,-0.620
2,0:09,2,19,PIT 24,9,3,Ben Roethlisberger pass complete short middle to Heath Miller for 9 yards (tackle by James Laurinaitis),-0.620,-0.100
Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,9,3,"Josh Scobee kicks off 69 yards, returned by Benny Cunningham for 22 yards (tackle by Brandon Boykin)",0.000,-0.040
3,14:52,1,10,STL 18,9,3,Nick Foles pass complete short right to Lance Kendricks for 5 yards (tackle by William Gay),0.040,0.280
3,14:25,2,5,STL 23,9,3,Todd Gurley right tackle for 4 yards (tackle by Steve McLendon),0.280,-0.020
3,13:45,3,1,STL 27,9,3,Benny Cunningham right tackle for 12 yards (tackle by Ross Cockrell and Sean Spence),-0.020,1.530
3,13:07,1,10,STL 39,9,3,Nick Foles pass incomplete short middle intended for Cory Harkey,1.530,0.990
3,13:00,2,10,STL 39,9,3,Nick Foles pass complete short right to Kenny Britt for 15 yards (tackle by William Gay and Bud Dupree),0.990,2.520
3,12:20,1,10,PIT 46,9,3,Nick Foles pass incomplete deep left intended for Lance Kendricks,2.520,1.980
3,12:11,2,10,PIT 46,9,3,Nick Foles sacked by Arthur Moats for -8 yards,1.980,0.230
3,11:28,3,18,STL 46,9,3,Nick Foles pass complete short middle to Benny Cunningham for 12 yards (tackle by Stephon Tuitt),0.230,0.460
3,10:45,4,6,PIT 42,9,3,"Johnny Hekker punts 42 yards, touchback",0.460,-0.280
3,10:35,1,10,PIT 20,9,3,Ben Roethlisberger pass complete short left to Antonio Brown for 8 yards (tackle by Janoris Jenkins and James Laurinaitis),0.280,0.810
3,10:01,2,2,PIT 28,9,3,Le'Veon Bell right guard for -4 yards (tackle by Aaron Donald),0.810,-0.430
3,9:20,3,6,PIT 24,9,3,"Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell. Penalty on Mark Barron: Defensive Holding, 5 yards (no play)",-0.430,0.870
3,9:15,1,10,PIT 29,9,3,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Trumaine Johnson),0.870,0.330
3,9:10,2,10,PIT 29,9,3,Le'Veon Bell middle for -3 yards (tackle by Aaron Donald),0.330,-0.760
3,8:26,3,13,PIT 26,9,3,Ben Roethlisberger pass complete short middle to Antonio Brown for 14 yards (tackle by Rodney McLeod),-0.760,1.600
3,7:47,1,10,PIT 40,9,3,Ben Roethlisberger pass complete short right to Darrius Heyward-Bey for 6 yards (tackle by Trumaine Johnson),1.600,1.860
3,7:03,2,4,PIT 46,9,3,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 4 yards (tackle by T.J. McDonald and Mark Barron),1.860,2.260
3,6:18,1,10,,9,3,Ben Roethlisberger sacked by Aaron Donald for -8 yards,2.260,0.630
3,5:35,2,18,PIT 42,9,3,Ben Roethlisberger sacked by Mark Barron for -5 yards,0.630,-0.690
3,5:06,3,23,PIT 37,9,3,Michael Vick pass complete short middle to Le'Veon Bell for 3 yards (tackle by Rodney McLeod),-0.690,-0.720
3,4:41,4,20,PIT 40,9,3,"Jordan Berry punts 57 yards, returned by Tavon Austin for 12 yards (tackle by Ross Ventrone)",-0.720,0.220
3,4:31,1,10,STL 15,9,3,Nick Foles pass complete deep right to Kenny Britt for 26 yards (tackle by Will Allen and Sean Spence),-0.220,1.660
3,3:42,1,10,STL 41,9,3,Tre Mason right end for 3 yards (tackle by Will Allen),1.660,1.530
3,3:02,2,7,STL 44,9,3,"Tre Mason left tackle for 7 yards. Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",1.530,0.180
3,2:28,2,17,STL 34,9,3,Nick Foles pass complete short left to Tavon Austin for 7 yards (tackle by William Gay),0.180,0.430
3,1:57,3,10,STL 41,9,3,Nick Foles pass complete short middle to Jared Cook for 7 yards (tackle by Sean Spence),0.430,-0.190
3,1:14,4,3,STL 48,9,3,"Johnny Hekker punts 34 yards, fair catch by Antonio Brown",-0.190,-0.040
3,1:05,1,10,PIT 18,9,3,Michael Vick pass complete deep right to Le'Veon Bell for 20 yards (tackle by Alec Ogletree),0.040,1.470
3,0:24,1,10,PIT 38,9,3,Le'Veon Bell left tackle for no gain (tackle by Mark Barron and Ethan Westbrooks),1.470,0.920
Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,PIT 38,9,3,"Michael Vick sacked by Robert Quinn for -8 yards. Michael Vick fumbles (forced by Robert Quinn), recovered by Le'Veon Bell at PIT-27",0.920,-1.220
4,14:13,3,21,PIT 27,9,3,Michael Vick sacked by Alec Ogletree for 0 yards,-1.220,-1.570
4,13:48,4,21,PIT 27,9,3,"Jordan Berry punts 51 yards, returned by Tavon Austin for 12 yards (tackle by Shamarko Thomas). Penalty on Lamarcus Joyner: Offensive Holding, 10 yards",-1.570,0.350
4,13:35,1,10,STL 12,9,3,Todd Gurley right end for 2 yards (tackle by Steve McLendon),-0.350,-0.610
4,12:55,2,8,STL 14,9,3,Todd Gurley middle for 1 yard (tackle by Lawrence Timmons and James Harrison),-0.610,-1.070
4,12:17,3,7,STL 15,9,3,Nick Foles pass complete short right to Benny Cunningham for 6 yards (tackle by Will Allen and Ross Cockrell),-1.070,-1.960
4,11:37,4,1,STL 21,9,3,"Johnny Hekker punts 50 yards, fair catch by Antonio Brown",-1.960,-0.870
4,11:30,1,10,PIT 29,9,3,Le'Veon Bell left end for 6 yards (tackle by T.J. McDonald),0.870,1.140
4,10:47,2,4,PIT 35,9,3,Le'Veon Bell left tackle for 2 yards (tackle by Janoris Jenkins and James Laurinaitis),1.140,0.700
4,10:02,3,2,PIT 37,9,3,Michael Vick pass incomplete short left intended for Antonio Brown (defended by Lamarcus Joyner),0.700,-0.910
4,9:58,4,2,PIT 37,9,3,"Jordan Berry punts 54 yards, returned by Tavon Austin for 20 yards (tackle by Terence Garvin)",-0.910,-0.870
4,9:44,1,10,STL 29,9,3,Tre Mason right tackle for -4 yards (tackle by Cameron Heyward and Jacoby Jones),0.870,-0.210
4,9:09,2,14,STL 25,9,3,Nick Foles pass complete short left to Kenny Britt for 10 yards (tackle by Lawrence Timmons),-0.210,0.430
4,8:27,3,4,STL 35,9,3,"Nick Foles pass incomplete deep left intended for Kenny Britt. Penalty on Antwon Blake: Defensive Pass Interference, 34 yards (no play)",0.430,3.510
4,8:19,1,10,PIT 31,9,3,Chris Givens right end for 24 yards (tackle by Mike Mitchell),3.510,5.600
4,7:35,1,7,PIT 7,9,3,Tre Mason right end for -2 yards (tackle by Sean Spence),5.600,4.380
4,6:57,2,9,PIT 9,9,3,"Penalty on Jared Cook: False Start, 5 yards (no play)",4.380,3.580
4,6:34,2,14,PIT 14,9,3,Nick Foles pass incomplete short right intended for Jared Cook,3.580,3.000
4,6:26,3,14,PIT 14,9,3,"Penalty on Greg Robinson: False Start, 5 yards (no play)",3.000,2.490
4,6:26,3,19,PIT 19,9,3,Nick Foles middle for 10 yards (tackle by Lawrence Timmons and Will Allen),2.490,2.830
4,5:42,4,9,PIT 9,9,6,Greg Zuerlein 27 yard field goal good,2.830,3.000
4,5:42,,,STL 35,9,6,"Greg Zuerlein kicks off 65 yards, touchback. Penalty on Daren Bates: Offside on Free Kick, 5 yards",0.000,-0.610
4,5:38,1,10,PIT 25,9,6,Le'Veon Bell left tackle for 23 yards (tackle by Rodney McLeod and Lamarcus Joyner),0.610,2.130
4,4:51,1,10,PIT 48,9,6,Le'Veon Bell right guard for 3 yards (tackle by T.J. McDonald),2.130,1.990
4,4:07,2,7,STL 49,9,6,"Le'Veon Bell right guard for -1 yards. Penalty on Cody Wallace: Offensive Holding, 10 yards (no play)",1.990,0.640
4,4:01,2,17,PIT 41,9,6,Michael Vick pass complete short right to Markus Wheaton for 4 yards (tackle by Lamarcus Joyner),0.640,0.500
4,3:19,3,13,PIT 45,9,6,Michael Vick pass complete short middle to Le'Veon Bell for 4 yards (tackle by T.J. McDonald),0.500,0.500
4,3:09,3,13,PIT 45,9,6,Timeout #1 by Los Angeles Rams,0.500,-0.130
4,3:09,4,9,PIT 49,9,6,"Jordan Berry punts 34 yards, fair catch by Tavon Austin",-0.130,0.060
4,3:02,1,10,STL 17,9,6,Nick Foles pass incomplete deep middle intended for Lance Kendricks is intercepted by Will Allen at PIT-49 and returned for 20 yards,-0.060,-3.510
4,2:51,1,10,STL 31,9,6,Le'Veon Bell left guard for 2 yards (tackle by Alec Ogletree),3.510,3.510
4,2:47,1,10,STL 31,9,6,Timeout #2 by Los Angeles Rams,3.510,3.240
4,2:47,2,8,STL 29,9,6,Le'Veon Bell middle for -1 yards (tackle by Michael Brockers and James Laurinaitis),3.240,3.240
4,2:41,2,8,STL 29,9,6,Timeout #3 by Los Angeles Rams,3.240,2.410
4,2:41,3,9,STL 30,9,6,Michael Vick pass complete short right to Darrius Heyward-Bey for 7 yards (tackle by Lamarcus Joyner),2.410,2.050
4,2:00,4,2,STL 23,12,6,Josh Scobee 41 yard field goal good,2.050,3.000
4,2:00,,,PIT 35,12,6,"Josh Scobee kicks off 70 yards, returned by Benny Cunningham for 26 yards (tackle by Ross Ventrone)",0.000,-0.340
4,1:51,1,10,STL 21,12,6,Nick Foles pass complete short left to Kenny Britt for 13 yards (tackle by Mike Mitchell and Antwon Blake),0.340,1.200
4,1:28,1,10,STL 34,12,6,Nick Foles pass incomplete short middle intended for Jared Cook,1.200,0.660
4,1:28,2,10,STL 34,12,6,Nick Foles pass complete short right to Kenny Britt for 5 yards (tackle by Bud Dupree and Robert Golden),0.660,0.630
4,1:23,3,5,STL 39,12,6,Nick Foles pass incomplete short right intended for Kenny Britt,0.630,-0.780
4,1:19,4,5,STL 39,12,6,Nick Foles pass incomplete short left intended for Kenny Britt,-0.780,-2.980
4,1:15,1,10,STL 39,12,6,Michael Vick kneels for -1 yards,2.980,2.300
4,0:37,2,11,STL 40,12,6,Michael Vick kneels for -1 yards,2.300,1.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
