Unnamed: 0,OAK,DEN
First Downs,14,15
Rush-Yds-TDs,30-85-0,31-144-1
Cmp-Att-Yd-TD-INT,13-26-189-0-1,11-18-102-0-0
Sacked-Yards,4-30,2-11
Net Pass Yards,159,91
Total Yards,244,235
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,13-95,5-39
Third Down Conv.,4-13,5-11
Fourth Down Conv.,1-2,0-0
Time of Possession,31:36,28:24
