Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Jake Plummer pass complete short middle to Tatum Bell for -1 yards (tackle by Thomas Howard),0.280,-0.460
1,14:22,2,11,DEN 19,0,0,Tatum Bell left guard for 5 yards (tackle by Derrick Burgess and Stuart Schweigert),-0.460,-0.430
1,13:44,3,6,DEN 24,0,0,Jake Plummer pass complete short left to Tatum Bell for 16 yards (tackle by Nnamdi Asomugha),-0.430,1.600
1,13:02,1,10,DEN 40,0,0,Jake Plummer pass complete short left to Tatum Bell for -4 yards (tackle by Kirk Morrison),1.600,0.510
1,12:20,2,14,DEN 36,0,0,Tatum Bell right guard for 5 yards (tackle by Warren Sapp),0.510,0.500
1,11:39,3,9,DEN 41,0,0,Jake Plummer middle for 11 yards (tackle by Thomas Howard),0.500,2.390
1,10:56,1,10,OAK 48,0,0,Mike Bell left guard for 2 yards (tackle by Sam Williams),2.390,2.120
1,10:18,2,8,OAK 46,0,0,Jake Plummer pass complete short right to Cecil Sapp for 2 yards (tackle by Michael Huff),2.120,1.690
1,9:38,3,6,OAK 44,0,0,Jake Plummer pass incomplete deep middle intended for Javon Walker (defended by Tommy Kelly),1.690,0.330
1,9:31,4,6,OAK 44,0,0,"Paul Ernster punts 28 yards, fair catch by Chris Carr",0.330,0.060
1,9:23,1,10,OAK 17,0,0,LaMont Jordan for 4 yards (tackle by D.J. Williams),-0.060,0.080
1,8:52,2,6,OAK 21,0,0,LaMont Jordan middle for no gain (tackle by Ebenezer Ekuban),0.080,-0.750
1,8:14,3,6,OAK 21,0,0,Andrew Walter pass complete short middle to Randy Moss for 6 yards (tackle by Ian Gold),-0.750,0.740
1,7:34,1,10,OAK 27,0,0,LaMont Jordan right tackle for 1 yard (tackle by Ebenezer Ekuban and D.J. Williams),0.740,0.330
1,6:54,2,9,OAK 28,0,0,Andrew Walter pass complete short middle to Courtney Anderson for 15 yards (tackle by Nick Ferguson),0.330,1.800
1,6:16,1,10,OAK 43,0,0,LaMont Jordan left guard for -5 yards (tackle by Ebenezer Ekuban and D.J. Williams),1.800,0.580
1,5:34,2,15,OAK 38,0,0,Andrew Walter pass incomplete short right intended for Courtney Anderson (defended by D.J. Williams),0.580,-0.100
1,5:29,3,15,OAK 38,0,0,"Andrew Walter sacked by Elvis Dumervil for -6 yards. Penalty on Gerard Warren: Illegal Use of Hands, 5 yards",-0.100,1.400
1,5:07,1,10,OAK 37,0,0,LaMont Jordan left guard for 6 yards (tackle by John Engelberger and Nick Ferguson),1.400,1.670
1,4:26,2,4,OAK 43,0,0,LaMont Jordan left tackle for 2 yards (tackle by John Lynch),1.670,1.220
1,3:45,3,2,OAK 45,0,0,"Penalty on Robert Gallery: False Start, 5 yards (no play)",1.220,0.560
1,3:19,3,7,OAK 40,0,0,Andrew Walter pass complete short left to LaMont Jordan for 16 yards (tackle by Al Wilson),0.560,2.650
1,2:48,1,10,DEN 44,0,0,Justin Fargas right tackle for 6 yards (tackle by Demetrin Veal and Champ Bailey),2.650,2.920
1,2:28,2,4,DEN 38,0,0,Justin Fargas right guard for 2 yards (tackle by Kenard Lang),2.920,2.480
1,1:46,,,,0,0,Timeout #1 by Oakland Raiders,0.000,2.480
1,1:46,3,2,DEN 36,0,0,Andrew Walter pass incomplete deep middle intended for Randy Moss (defended by John Lynch),2.480,0.890
1,1:38,4,2,DEN 36,0,0,Sebastian Janikowski 54 yard field goal no good,0.890,-1.860
1,1:33,1,10,DEN 44,0,0,Jake Plummer pass complete deep middle to Javon Walker for 54 yards (tackle by Nnamdi Asomugha),1.860,6.740
1,0:42,,,,0,0,Timeout #1 by Denver Broncos,0.000,6.740
1,0:42,1,2,OAK 2,0,6,"Tatum Bell left guard for 2 yards, touchdown",6.740,7.000
1,,,,OAK 2,0,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,0,7,"Paul Ernster kicks off 70 yards, touchback",0.000,0.280
1,0:39,1,10,OAK 20,0,7,"LaMont Jordan right tackle for 6 yards (tackle by Michael Myers). Penalty on Zack Crockett: Offensive Holding, 10 yards (no play)",0.280,-0.760
1,0:10,1,20,OAK 10,0,7,LaMont Jordan for no gain (tackle by Darrent Williams),-0.760,-1.510
Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,20,OAK 10,0,7,Andrew Walter pass complete short middle to John Madsen for 5 yards (tackle by Ian Gold),-1.510,-1.860
2,14:19,3,15,OAK 15,0,7,LaMont Jordan left tackle for 2 yards (tackle by Al Wilson and Demetrin Veal),-1.860,-2.320
2,13:37,4,13,OAK 17,0,7,"Shane Lechler punts 51 yards, returned by Darrent Williams for 6 yards (tackle by Sam Williams)",-2.320,-1.470
2,13:25,1,10,DEN 38,0,7,Jake Plummer pass incomplete short left intended for Stephen Alexander (defended by Robert Thomas),1.470,0.920
2,13:19,2,10,DEN 38,0,7,Tatum Bell right tackle for 7 yards (tackle by Thomas Howard and Stuart Schweigert),0.920,1.160
2,12:40,3,3,DEN 45,0,7,Jake Plummer pass complete short left to Javon Walker for 5 yards (tackle by Robert Thomas and Nnamdi Asomugha),1.160,2.260
2,12:01,1,10,DEN 50,0,7,"Tatum Bell right tackle for no gain (tackle by Kirk Morrison and Tommy Kelly). Penalty on Stanford Routt: Unnecessary Roughness, 15 yards",2.260,3.250
2,11:30,1,10,OAK 35,0,7,Jake Plummer pass incomplete short left intended for Rod Smith (defended by Nnamdi Asomugha),3.250,2.700
2,11:25,2,10,OAK 35,0,7,Tatum Bell right tackle for 4 yards (tackle by Warren Sapp),2.700,2.540
2,10:47,3,6,OAK 31,0,7,Jake Plummer sacked by Lance Johnstone for -2 yards,2.540,1.150
2,10:15,4,8,OAK 33,0,10,Jason Elam 51 yard field goal good,1.150,3.000
2,,,,DEN 30,0,10,"Paul Ernster kicks off 70 yards, touchback",0.000,0.280
2,10:09,1,10,OAK 20,0,10,"Penalty on Courtney Anderson: False Start, 5 yards (no play)",0.280,-0.310
2,10:09,1,15,OAK 15,0,10,Justin Fargas middle for 3 yards (tackle by Nick Ferguson and Al Wilson),-0.310,-0.630
2,9:27,2,12,OAK 18,0,10,Andrew Walter pass incomplete deep right intended for Alvis Whitted,-0.630,-1.330
2,9:18,3,12,OAK 18,0,10,"Penalty on Chad Slaughter: False Start, 5 yards (no play)",-1.330,-2.190
2,9:18,3,17,OAK 13,0,10,Andrew Walter sacked by Elvis Dumervil for -9 yards,-2.190,-2.490
2,8:45,4,26,OAK 4,0,10,"Shane Lechler punts 53 yards, returned by Darrent Williams for 4 yards (tackle by Robert Thomas)",-2.490,-2.060
2,8:33,1,10,DEN 47,0,10,Javon Walker left end for 29 yards (tackle by Stuart Schweigert),2.060,3.970
2,7:49,1,10,OAK 24,0,10,Tatum Bell right tackle for no gain (tackle by Terdell Sands),3.970,3.430
2,7:10,2,10,OAK 24,0,10,Jake Plummer pass complete short right to Tatum Bell for no gain,3.430,2.740
2,6:28,3,10,OAK 24,0,10,"Penalty on Anttaj Hawthorne: Encroachment, 5 yards (no play)",2.740,3.410
2,6:07,3,5,OAK 19,0,10,Tatum Bell middle for 10 yards (tackle by Thomas Howard),3.410,5.140
2,5:27,1,9,OAK 9,0,10,Tatum Bell middle for 4 yards (tackle by Derrick Burgess),5.140,5.150
2,4:47,2,5,OAK 5,0,10,Tatum Bell middle for 1 yard (tackle by Tommy Kelly),5.150,4.490
2,4:07,3,4,OAK 4,0,10,Jake Plummer pass incomplete short right intended for Cecil Sapp,4.490,3.030
2,4:02,4,4,OAK 4,0,13,Jason Elam 22 yard field goal good,3.030,3.000
2,,,,DEN 30,0,13,"Paul Ernster kicks off 74 yards, returned by Chris Carr for 26 yards (tackle by Keith Burns). Penalty on Jarrod Cooper: Offensive Holding, 10 yards",0.000,-0.350
2,3:54,1,10,OAK 12,0,13,LaMont Jordan right tackle for 5 yards (tackle by Champ Bailey and Al Wilson),-0.350,-0.230
2,3:15,2,5,OAK 17,0,13,Andrew Walter pass complete short middle to Randy Moss for 4 yards (tackle by John Lynch),-0.230,-0.370
2,2:28,,,,0,13,Timeout #2 by Oakland Raiders,0.000,-0.370
2,2:28,3,1,OAK 21,0,13,Andrew Walter pass complete deep left to Randy Moss for 51 yards (tackle by Darrent Williams and John Lynch),-0.370,3.710
2,2:00,1,10,DEN 28,0,13,"Penalty on Barry Sims: False Start, 5 yards (no play)",3.710,3.380
2,2:00,1,15,DEN 33,0,13,LaMont Jordan right tackle for 5 yards (tackle by Al Wilson and Nick Ferguson),3.380,3.170
2,1:17,2,10,DEN 28,0,13,Andrew Walter pass incomplete deep left intended for Randy Moss is intercepted by Champ Bailey at DEN-1,3.170,0.380
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:09,1,10,DEN 1,0,13,Jake Plummer middle for 1 yard (tackle by Warren Sapp),-0.380,-0.710
2,0:29,2,9,DEN 2,0,13,Jake Plummer right guard for 1 yard (tackle by Warren Sapp and Tommy Kelly),-0.710,-1.190
Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,0,13,"Paul Ernster kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,OAK 20,0,13,LaMont Jordan middle for 1 yard (tackle by D.J. Williams),0.280,-0.130
3,14:24,2,9,OAK 21,0,13,Andrew Walter pass incomplete deep middle intended for Randy Moss (defended by John Lynch),-0.130,-0.820
3,14:16,3,9,OAK 21,0,13,Andrew Walter pass incomplete short left intended for Randy Moss,-0.820,-1.960
3,14:08,4,9,OAK 21,0,13,"Shane Lechler punts 49 yards, returned by Darrent Williams for 21 yards (tackle by Chris Carr). Darrent Williams fumbles, recovered by Robert Thomas at OAK-48",-1.960,2.130
3,13:47,1,10,OAK 48,0,13,LaMont Jordan right tackle for no gain (tackle by D.J. Williams and Al Wilson),2.130,1.580
3,13:11,2,10,OAK 48,0,13,Andrew Walter pass complete short left to Alvis Whitted for 11 yards,1.580,2.850
3,12:45,1,10,DEN 41,0,13,LaMont Jordan right guard for -1 yards (tackle by D.J. Williams),2.850,2.170
