Quarter,Time,Tm,Detail,OAK,DEN
1.0,0:39,Broncos,Tatum Bell 2 yard rush (Jason Elam kick),0,7
2.0,10:09,Broncos,Jason Elam 51 yard field goal,0,10
,3:59,Broncos,Jason Elam 22 yard field goal,0,13
3.0,7:11,Raiders,Sebastian Janikowski 47 yard field goal,3,13
