Quarter,Time,Tm,Detail,WAS,TEN
1,8:18,Titans,Marc Mariani 87 yard punt return (Rob Bironas kick),0,7
,5:02,Redskins,Santana Moss 5 yard pass from Donovan McNabb (Graham Gano kick),7,7
2,10:38,Redskins,Graham Gano 19 yard field goal,10,7
,3:31,Titans,Rob Bironas 25 yard field goal,10,10
3,9:10,Titans,Rob Bironas 32 yard field goal,10,13
,3:55,Redskins,Graham Gano 40 yard field goal,13,13
4,8:40,Titans,Rob Bironas 40 yard field goal,13,16
,5:24,Redskins,Graham Gano 42 yard field goal,16,16
OT,8:17,Redskins,Graham Gano 48 yard field goal,19,16
