Unnamed: 0,WAS,TEN
First Downs,32,15
Rush-Yds-TDs,33-107-0,25-151-0
Cmp-Att-Yd-TD-INT,30-50-376-1-1,15-25-227-0-1
Sacked-Yards,3-18,1-5
Net Pass Yards,358,222
Total Yards,465,373
Fumbles-Lost,2-0,1-1
Turnovers,1,2
Penalties-Yards,3-20,11-81
Third Down Conv.,8-16,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,40:09,26:34
