Unnamed: 0,ATL,DET
First Downs,19,25
Rush-Yds-TDs,22-73-0,22-79-1
Cmp-Att-Yd-TD-INT,25-32-279-4-0,37-56-443-0-1
Sacked-Yards,1-8,0-0
Net Pass Yards,271,443
Total Yards,344,522
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,3-20,2-20
Third Down Conv.,6-11,5-14
Fourth Down Conv.,0-0,3-4
Time of Possession,28:52,31:08
