Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DET 25,0,0,David Montgomery up the middle for 10 yards (tackle by Christian Rozeboom and Quentin Lake),0.610,1.270
1,14:26,1,10,DET 35,0,0,Jared Goff pass complete short right to Jameson Williams for 6 yards (tackle by Ernest Jones),1.270,1.530
1,13:54,2,4,DET 41,0,0,David Montgomery right end for 5 yards (tackle by Bobby Brown and Quentin Lake),1.530,1.990
1,13:20,1,10,DET 46,0,0,Jared Goff pass complete deep middle to Josh Reynolds for 24 yards (tackle by Michael Hoecht),1.990,3.580
1,12:35,1,10,LAR 30,0,0,David Montgomery right tackle for 7 yards (tackle by Quentin Lake),3.580,3.980
1,11:45,2,3,LAR 23,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Michael Hoecht and Ernest Jones),3.980,4.370
1,11:23,1,10,LAR 18,0,0,Jared Goff pass complete short left to Sam LaPorta for 8 yards (tackle by Cobie Durant),4.370,5.230
1,10:47,2,2,LAR 10,0,0,Jared Goff pass complete short right to Josh Reynolds for 8 yards (tackle by Cobie Durant and Russ Yeast),5.230,6.740
1,10:10,1,2,LAR 2,0,0,David Montgomery up the middle for 1 yard (tackle by Aaron Donald and Quentin Lake),6.740,5.910
1,9:33,2,1,LAR 1,0,6,"David Montgomery up the middle for 1 yard, touchdown",5.910,7.000
1,9:30,,,LAR 15,0,7,Michael Badgley kicks extra point good,0.000,0.000
1,9:30,,,DET 35,0,7,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,9:30,1,10,LAR 25,0,7,Kyren Williams left tackle for 5 yards (tackle by Alex Anzalone),0.610,0.740
1,8:48,2,5,LAR 30,0,7,Matthew Stafford pass complete short middle to Puka Nacua for 4 yards (tackle by Brian Branch),0.740,0.560
1,8:11,3,1,LAR 34,0,7,"Matthew Stafford pass incomplete short left intended for Puka Nacua. Penalty on Brian Branch: Defensive Pass Interference, 9 yards (accepted) (no play)",0.560,1.800
1,8:02,1,10,LAR 43,0,7,Matthew Stafford pass complete short right to Kyren Williams for 9 yards (tackle by Ifeatu Melifonwu),1.800,2.470
1,7:17,2,1,DET 48,0,7,Kyren Williams left tackle for 5 yards (tackle by Josh Paschal),2.470,2.720
1,6:34,1,10,DET 43,0,7,Matthew Stafford pass complete short left to Davis Allen for 6 yards (tackle by Alex Anzalone),2.720,2.990
1,5:58,2,4,DET 37,0,7,Matthew Stafford pass complete short left to Puka Nacua for 21 yards (tackle by Jack Campbell),2.990,4.510
1,5:12,1,10,DET 16,0,7,"Kyren Williams up the middle for 4 yards (tackle by Brian Branch and John Cominsky). Penalty on Kerby Joseph: Personal Foul / Defense, 6 yards (accepted)",4.510,5.830
1,4:43,1,6,DET 6,0,7,Matthew Stafford pass incomplete short left intended for Cooper Kupp,5.830,4.950
1,4:39,2,6,DET 6,0,7,Matthew Stafford pass incomplete short left,4.950,4.040
1,4:34,3,6,DET 6,0,7,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Brian Branch),4.040,2.990
1,4:29,4,6,DET 6,3,7,Brett Maher 24 yard field goal good,2.990,3.000
1,4:26,,,LAR 35,3,7,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,4:26,1,10,DET 25,3,7,Jared Goff pass complete short right to Jahmyr Gibbs for 3 yards (tackle by Quentin Lake and Cobie Durant),0.610,0.470
1,3:46,2,7,DET 28,3,7,"Jared Goff pass complete short right to Josh Reynolds for 10 yards (tackle by Ernest Jones and Ahkello Witherspoon). Penalty on Nick Hampton: Roughing the Passer, 15 yards (accepted)",0.470,2.460
1,3:25,1,10,LAR 47,3,7,Jared Goff pass complete short middle to Jahmyr Gibbs for 14 yards (tackle by Quentin Lake),2.460,3.380
1,2:45,1,10,LAR 33,3,7,"Jahmyr Gibbs left tackle for no gain (tackle by Ernest Jones and Quentin Lake). Penalty on Frank Ragnow: Offensive Holding, 10 yards (accepted) (no play)",3.380,2.720
1,2:26,1,20,LAR 43,3,7,Jared Goff pass complete deep middle to Josh Reynolds for 33 yards (tackle by Russ Yeast),2.720,4.910
1,1:35,1,10,LAR 10,3,13,"Jahmyr Gibbs up the middle for 10 yards, touchdown",4.910,7.000
1,1:31,,,LAR 15,3,14,Michael Badgley kicks extra point good,0.000,0.000
1,1:31,,,DET 35,3,14,"Jack Fox kicks off 61 yards, returned by Austin Trammell for 24 yards (tackle by Khalil Dorsey)",0.000,0.810
1,1:27,1,10,LAR 28,3,14,Matthew Stafford sacked by Aidan Hutchinson for -9 yards,0.810,-1.010
1,0:51,2,19,LAR 19,3,14,Kyren Williams up the middle for 3 yards (tackle by Alex Anzalone),-1.010,-1.220
1,0:08,3,16,LAR 22,3,14,Matthew Stafford pass complete deep right to Demarcus Robinson for 19 yards (tackle by Kindle Vildor),-1.220,1.660
Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 41,3,14,Kyren Williams up the middle for -1 yards (tackle by Alex Anzalone and Jack Campbell),1.660,0.990
2,14:18,2,11,LAR 40,3,14,Matthew Stafford pass complete short right to Puka Nacua for 10 yards (tackle by Cameron Sutton and C.J. Gardner-Johnson),0.990,1.620
2,13:32,3,1,LAR 50,9,14,"Matthew Stafford pass complete deep left to Puka Nacua for 50 yards, touchdown",1.620,7.000
2,13:24,,,DET 15,10,14,Brett Maher kicks extra point good,0.000,0.000
2,13:24,,,LAR 35,10,14,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
2,13:24,1,10,DET 25,10,14,David Montgomery left tackle for 11 yards (tackle by John Johnson and Quentin Lake),0.610,1.330
2,12:52,1,10,DET 36,10,14,David Montgomery up the middle for 5 yards (tackle by Ernest Jones and Bobby Brown),1.330,1.470
2,12:13,2,5,DET 41,10,14,Jared Goff pass complete short left to Jameson Williams for 13 yards (tackle by Quentin Lake),1.470,2.520
2,11:42,1,10,LAR 46,10,14,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.520,1.980
2,11:38,2,10,LAR 46,10,14,Jared Goff pass complete short left to Josh Reynolds for 5 yards (tackle by John Johnson),1.980,1.950
2,10:58,3,5,LAR 41,10,14,Jared Goff pass complete short left to Amon-Ra St. Brown for 14 yards (tackle by John Johnson),1.950,3.780
2,10:22,1,10,LAR 27,10,14,Jared Goff pass complete short right to Jahmyr Gibbs for 16 yards (tackle by Russ Yeast),3.780,4.840
2,9:41,1,10,LAR 11,10,14,"Penalty on Aaron Donald: Neutral Zone Infraction, 6 yards (accepted) (no play)",4.840,6.220
2,9:22,1,4,LAR 5,10,14,David Montgomery left end for -1 yards (tackle by Jonah Williams),6.220,5.080
2,8:46,2,5,LAR 6,10,14,David Montgomery up the middle for 2 yards (tackle by Bobby Brown),5.080,4.670
2,8:04,3,3,LAR 4,10,14,David Montgomery left tackle for 2 yards (tackle by Aaron Donald and John Johnson),4.670,3.250
2,7:16,4,1,LAR 2,10,20,"Jared Goff pass complete short right to Sam LaPorta for 2 yards, touchdown",3.250,7.000
2,7:12,,,LAR 15,10,21,Michael Badgley kicks extra point good,0.000,0.000
2,7:12,,,DET 35,10,21,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,7:12,1,10,LAR 25,10,21,Matthew Stafford pass complete short middle to Puka Nacua for 21 yards (tackle by C.J. Gardner-Johnson),0.610,1.990
2,6:30,1,10,LAR 46,10,21,"Matthew Stafford pass incomplete deep right intended for Tyler Higbee. Penalty on C.J. Gardner-Johnson: Defensive Holding, 5 yards (accepted) (no play)",1.990,2.320
2,6:21,1,10,DET 49,10,21,Ronnie Rivers left end for no gain (tackle by Tyson Alualu and Aidan Hutchinson),2.320,1.780
2,5:40,2,10,DET 49,10,21,Matthew Stafford pass complete short middle to Ben Skowronek for 5 yards (tackle by Brian Branch and Alex Anzalone),1.780,1.750
2,4:56,3,5,DET 44,10,21,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson,1.750,0.330
2,4:49,4,5,DET 44,10,21,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by C.J. Gardner-Johnson),0.330,3.050
2,4:11,1,10,DET 38,16,21,"Matthew Stafford pass complete deep right to Tutu Atwell for 38 yards, touchdown",3.050,7.000
2,4:02,,,DET 15,17,21,Brett Maher kicks extra point good,0.000,0.000
2,4:02,,,LAR 35,17,21,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
2,4:02,1,10,DET 25,17,21,Jahmyr Gibbs left end for 11 yards (tackle by Christian Rozeboom),0.610,1.330
2,3:27,1,10,DET 36,17,21,"Jared Goff sacked by Ernest Jones for -15 yards. Jared Goff fumbles (forced by Ernest Jones), recovered by Brock Wright at DET-21 (tackle by Byron Young)",1.330,-1.240
2,2:33,2,25,DET 21,17,21,Jared Goff pass complete short left to Jahmyr Gibbs for 10 yards (tackle by Ernest Jones),-1.240,-0.560
2,2:00,3,15,DET 31,17,21,Jared Goff pass complete deep left to Amon-Ra St. Brown for 23 yards (tackle by John Johnson),-0.560,2.520
2,1:52,1,10,LAR 46,17,21,Jahmyr Gibbs left end for 1 yard (tackle by Byron Young),2.520,2.110
2,1:48,2,9,LAR 45,17,21,Jahmyr Gibbs left tackle for 4 yards (tackle by Ernest Jones and Michael Hoecht),2.110,1.950
2,1:10,3,5,LAR 41,17,21,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.950,0.530
2,1:06,4,5,LAR 41,17,21,"Penalty on Taylor Decker: False Start, 4 yards (accepted) (no play)",0.530,0.270
2,0:59,4,9,LAR 45,17,21,"Jack Fox punts 35 yards, fair catch by Austin Trammell at LA-10. Penalty on Tre'Vius Tomlinson: Illegal Blindside Block, 5 yards (accepted)",0.270,0.380
2,0:59,1,10,LAR 5,17,21,Kyren Williams up the middle for 6 yards (tackle by Jack Campbell),-0.380,-0.340
