Quarter,Time,Tm,Detail,LAR,DET
1.0,9:30,Lions,David Montgomery 1 yard rush (Michael Badgley kick),0,7
,4:26,Rams,Brett Maher 24 yard field goal,3,7
,1:31,Lions,Jahmyr Gibbs 10 yard rush (Michael Badgley kick),3,14
2.0,13:24,Rams,Puka Nacua 50 yard pass from Matthew Stafford (Brett Maher kick),10,14
,7:12,Lions,Sam LaPorta 2 yard pass from Jared Goff (Michael Badgley kick),10,21
,4:02,Rams,Tutu Atwell 38 yard pass from Matthew Stafford (Brett Maher kick),17,21
3.0,8:41,Lions,Michael Badgley 54 yard field goal,17,24
,2:33,Rams,Brett Maher 27 yard field goal,20,24
4.0,8:10,Rams,Brett Maher 29 yard field goal,23,24
