Unnamed: 0,LAR,DET
First Downs,22,23
Rush-Yds-TDs,17-68-0,25-79-2
Cmp-Att-Yd-TD-INT,25-36-367-2-0,22-27-277-1-0
Sacked-Yards,2-10,3-22
Net Pass Yards,357,255
Total Yards,425,334
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,4-36,5-34
Third Down Conv.,3-9,3-9
Fourth Down Conv.,1-1,1-1
Time of Possession,30:05,29:55
