Unnamed: 0,GNB,ARI
First Downs,24,13
Rush-Yds-TDs,34-109-2,14-48-0
Cmp-Att-Yd-TD-INT,22-29-242-1-1,19-31-139-1-3
Sacked-Yards,1-6,0-0
Net Pass Yards,236,139
Total Yards,345,187
Fumbles-Lost,0-0,1-0
Turnovers,1,3
Penalties-Yards,4-19,7-76
Third Down Conv.,5-12,4-8
Fourth Down Conv.,1-1,0-0
Time of Possession,37:27,22:33
