Unnamed: 0,TAM,PHI
First Downs,25,21
Rush-Yds-TDs,42-283-0,28-136-0
Cmp-Att-Yd-TD-INT,19-29-246-5-0,26-41-261-2-3
Sacked-Yards,1-8,3-14
Net Pass Yards,238,247
Total Yards,521,383
Fumbles-Lost,3-1,1-1
Turnovers,1,4
Penalties-Yards,9-82,5-25
Third Down Conv.,10-16,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,35:54,24:06
