Quarter,Time,Tm,Detail,TAM,PHI
1.0,11:35,Eagles,Josh Huff 39 yard pass from Mark Sanchez (Caleb Sturgis kick),0,7
,2:51,Buccaneers,Mike Evans 4 yard pass from Jameis Winston (Connor Barth kick),7,7
2.0,14:56,Buccaneers,Vincent Jackson 13 yard pass from Jameis Winston (Connor Barth kick),14,7
,8:06,Buccaneers,Russell Shepard 4 yard pass from Jameis Winston (Connor Barth kick),21,7
,6:04,Eagles,Darren Sproles 35 yard pass from Mark Sanchez (Caleb Sturgis kick),21,14
,1:05,Buccaneers,Charles Sims 14 yard pass from Jameis Winston (Connor Barth kick),28,14
3.0,5:13,Buccaneers,Cameron Brate 8 yard pass from Jameis Winston (Connor Barth kick),35,14
4.0,12:03,Buccaneers,Connor Barth 28 yard field goal,38,14
,5:10,Eagles,Caleb Sturgis 43 yard field goal,38,17
,4:16,Buccaneers,Lavonte David 20 yard interception return (Connor Barth kick),45,17
