#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:35,TAM 17,8,3:56,47,Punt
2,1,5:46,TAM 25,5,2:55,75,Touchdown
3,1,2:05,TAM 41,5,2:09,59,Touchdown
4,2,13:45,TAM 20,3,2:06,0,Punt
5,2,10:09,TAM 15,4,2:03,85,Touchdown
6,2,6:04,TAM 20,13,4:59,80,Touchdown
7,2,0:16,TAM 30,1,0:16,-1,End of Half
8,3,15:00,TAM 20,15,9:47,80,Touchdown
9,3,2:14,TAM 20,11,5:11,70,Field Goal
10,4,10:05,TAM 35,3,0:58,1,Punt
11,4,5:10,PHI 45,3,0:29,-5,Punt
12,4,1:05,TAM 12,2,1:05,-2,End of Game
