Unnamed: 0,NYJ,PHI
First Downs,13,20
Rush-Yds-TDs,27-94-0,33-160-4
Cmp-Att-Yd-TD-INT,16-29-177-2-2,15-22-274-1-1
Sacked-Yards,4-30,3-14
Net Pass Yards,147,260
Total Yards,241,420
Fumbles-Lost,2-2,5-3
Turnovers,4,4
Penalties-Yards,11-93,7-62
Third Down Conv.,3-13,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,29:57,30:03
