Unnamed: 0,ARI,PHI
First Downs,32,17
Rush-Yds-TDs,40-221-1,23-91-0
Cmp-Att-Yd-TD-INT,25-31-232-3-1,19-24-184-3-1
Sacked-Yards,1-4,0-0
Net Pass Yards,228,184
Total Yards,449,275
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,5-25,4-49
Third Down Conv.,5-10,4-9
Fourth Down Conv.,2-2,1-1
Time of Possession,39:39,20:21
