Quarter,Time,Tm,Detail,OAK,SDG
1.0,10:32,Chargers,Travis Benjamin 47 yard pass from Philip Rivers (Josh Lambo kick),0,7
,4:53,Raiders,Sebastian Janikowski 45 yard field goal,3,7
2.0,1:29,Chargers,Josh Lambo 35 yard field goal,3,10
,0:22,Raiders,Michael Crabtree 13 yard pass from Derek Carr (Sebastian Janikowski kick),10,10
3.0,10:48,Raiders,Sebastian Janikowski 33 yard field goal,13,10
,6:14,Chargers,Hunter Henry 7 yard pass from Philip Rivers (Josh Lambo kick failed),13,16
4.0,8:38,Raiders,Sebastian Janikowski 21 yard field goal,16,16
,2:40,Raiders,Sebastian Janikowski 44 yard field goal,19,16
