Quarter,Time,Tm,Detail,IND,NYG
1.0,7:07,Colts,Adam Vinatieri 48 yard field goal,3,0
2.0,13:38,Colts,Coby Fleener 32 yard pass from Andrew Luck (Adam Vinatieri kick),10,0
,7:07,Giants,Josh Brown 38 yard field goal,10,3
,3:32,Colts,Adam Vinatieri 31 yard field goal,13,3
,1:07,Colts,Adam Vinatieri 48 yard field goal,16,3
3.0,11:50,Colts,T.Y. Hilton 31 yard pass from Andrew Luck (Adam Vinatieri kick),23,3
,9:48,Giants,Andre Williams 1 yard rush (Josh Brown kick),23,10
,6:09,Colts,Reggie Wayne 40 yard pass from Andrew Luck (Adam Vinatieri kick),30,10
,4:31,Colts,Dwayne Allen 2 yard pass from Andrew Luck (Adam Vinatieri kick),37,10
4.0,13:23,Colts,Adam Vinatieri 43 yard field goal,40,10
,8:55,Giants,Larry Donnell 5 yard pass from Eli Manning (Josh Brown kick),40,17
,3:19,Giants,Corey Washington 1 yard pass from Eli Manning (Josh Brown kick),40,24
