Unnamed: 0,IND,NYG
First Downs,22,22
Rush-Yds-TDs,24-98-0,20-89-1
Cmp-Att-Yd-TD-INT,25-46-354-4-0,27-52-359-2-0
Sacked-Yards,1-9,3-10
Net Pass Yards,345,349
Total Yards,443,438
Fumbles-Lost,3-0,3-1
Turnovers,0,1
Penalties-Yards,4-30,4-30
Third Down Conv.,5-15,4-16
Fourth Down Conv.,0-0,1-2
Time of Possession,33:03,26:57
